CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
34.547.078/0001-42;2026-03-31;1;SÃO JOSÉ IMOB 82;SÃO JOSÉ IMOB 82;20500000
34.547.078/0001-42;2026-06-30;1;SÃO JOSÉ IMOB 82;SÃO JOSÉ IMOB 82;20500000
36.501.128/0001-86;2026-03-31;1;FAZ ROMA - TO;Aquisição de Participação da empresa ECO BRASIL FLORESTAS S.A., referente as propriedades: Bela Vista I, Bela Vista II, Bom Jesus, Cachoeira - Lote 1, Cachoeira - Lote 2, Caititu, Estância Córdoba, Feio, Lontra, Pitanga, União I, União II, União III, Vai Quem Quer, Vitória, Vitória II e Capivara com as suas respectivas matrículas 640, 641, 455, 457, 456, 458, 586, 446, 459, 454, 507, 508, 442, 644, 585, 610 e 464 do CRI de Tupiratins-TO. A área total das propriedades é de 13.764,06 hectares.;40000000
36.501.128/0001-86;2026-06-30;1;FAZ ROMA - TO;Aquisição de Participação da empresa ECO BRASIL FLORESTAS S.A., referente as propriedades: Bela Vista I, Bela Vista II, Bom Jesus, Cachoeira - Lote 1, Cachoeira - Lote 2, Caititu, Estância Córdoba, Feio, Lontra, Pitanga, União I, União II, União III, Vai Quem Quer, Vitória, Vitória II e Capivara com as suas respectivas matrículas 640, 641, 455, 457, 456, 458, 586, 446, 459, 454, 507, 508, 442, 644, 585, 610 e 464 do CRI de Tupiratins-TO. A área total das propriedades é de 13.764,06 hectares.;40000000
43.741.171/0001-84;2026-03-31;1;9ENERGIAS;DIREITO DE SUPERFICIE;5589000
43.741.171/0001-84;2026-03-31;1;IMPETUS;DIREITO DE SUPERFICIE;29036143.12
43.741.171/0001-84;2026-03-31;1;VOLTXS;DIREITO DE SUPERFICIE;32840000
43.741.171/0001-84;2026-03-31;1;DRS ITABIRA;DIREITO DE SUPERFICIE;14114332.95
43.741.171/0001-84;2026-06-30;1;9ENERGIAS;DIREITO DE SUPERFICIE;5589000
43.741.171/0001-84;2026-06-30;1;IMPETUS;DIREITO DE SUPERFICIE;29812731.88
43.741.171/0001-84;2026-06-30;1;VOLTXS;DIREITO DE SUPERFICIE;32840000
43.741.171/0001-84;2026-06-30;1;DRS ITABIRA;DIREITO DE SUPERFICIE;14116243.87
43.741.171/0001-84;2026-06-30;1;DRS ELOI MENDES;DIREITO DE SUPERFICIE;300000
43.741.171/0001-84;2026-06-30;1;DRS RUTINI;DIREITO DE SUPERFICIE;470000
52.635.194/0001-03;2026-03-31;1;Projeto Jamaris;Parcelamento da compra do terreno;29500000
52.635.194/0001-03;2026-06-30;1;Projeto Jamaris;Parcelamento da compra do terreno;29500000
53.191.611/0001-20;2026-03-31;1;DC_77702_VEX;Imóveis em Garantia;87026.87
53.191.611/0001-20;2026-03-31;1;DC_77703_VEX;Imóveis em Garantia;64162.84
53.191.611/0001-20;2026-03-31;1;DC_77770_77769_VEX;Imóveis em Garantia;240199.71
53.191.611/0001-20;2026-03-31;1;DC_77714_77715_VEX;Imóveis em Garantia;146812.8
53.191.611/0001-20;2026-03-31;1;DC_77779_77782_VEX;Imóveis em Garantia;102278.61
53.191.611/0001-20;2026-03-31;1;DC_47_JM TRANSPORTES;Imóveis em Garantia;607614
53.191.611/0001-20;2026-03-31;1;DC_77936_77935_VEX;Imóveis em Garantia;23342.11
53.191.611/0001-20;2026-03-31;1;DC_10646_VEX;Imóveis em Garantia;389778
53.191.611/0001-20;2026-03-31;1;DC_77894_VEX;Imóveis em Garantia;31766.25
53.191.611/0001-20;2026-03-31;1;DC_77869_77873_VEX;Imóveis em Garantia;278173.35
53.191.611/0001-20;2026-03-31;1;DC_1366_TRANSTECH;Imóveis em Garantia;1339566
53.191.611/0001-20;2026-03-31;1;DC_77865_VEX;Imóveis em Garantia;19714.62
53.191.611/0001-20;2026-03-31;1;DC_SEED CONSTRUÇOES;;17570587
53.191.611/0001-20;2026-03-31;1;EMPRESA RURAL E AGRO;;14939425.01
53.191.611/0001-20;2026-03-31;1;DC_SEED CONSTRUÇOES;;1429413
53.191.611/0001-20;2026-06-30;1;DC_77702_VEX;Imóveis em Garantia;87026.87
53.191.611/0001-20;2026-06-30;1;DC_77703_VEX;Imóveis em Garantia;64162.84
53.191.611/0001-20;2026-06-30;1;DC_77770_77769_VEX;Imóveis em Garantia;240199.71
53.191.611/0001-20;2026-06-30;1;DC_77714_77715_VEX;Imóveis em Garantia;146812.8
53.191.611/0001-20;2026-06-30;1;DC_77779_77782_VEX;Imóveis em Garantia;102278.61
53.191.611/0001-20;2026-06-30;1;DC_47_JM TRANSPORTES;Imóveis em Garantia;607614
53.191.611/0001-20;2026-06-30;1;DC_77936_77935_VEX;Imóveis em Garantia;23342.11
53.191.611/0001-20;2026-06-30;1;DC_10646_VEX;Imóveis em Garantia;389778
53.191.611/0001-20;2026-06-30;1;DC_77894_VEX;Imóveis em Garantia;31766.25
53.191.611/0001-20;2026-06-30;1;DC_77869_77873_VEX;Imóveis em Garantia;278173.35
53.191.611/0001-20;2026-06-30;1;DC_1366_TRANSTECH;Imóveis em Garantia;1339566
53.191.611/0001-20;2026-06-30;1;DC_77865_VEX;Imóveis em Garantia;19714.62
53.191.611/0001-20;2026-06-30;1;DC_SEED CONSTRUÇOES;;17570587
53.191.611/0001-20;2026-06-30;1;EMPRESA RURAL E AGRO;;14939425.01
