CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
63.104.203/0001-48;2026-06-30;1;Ambev CDDs ESS3;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;373934.509066075
63.104.203/0001-48;2026-06-30;1;PMNE Lençois;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;11463696.87
63.104.203/0001-48;2026-06-30;1;PMNE Garantido;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;9532371.11
63.104.203/0001-48;2026-06-30;1;Ambev CDDs Celpa;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;2636427.14
63.104.203/0001-48;2026-06-30;1;Ambev CDDs CPFL-Piratininga;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;1769691.23
63.104.203/0001-48;2026-06-30;1;Ambev CDDs Elektro1;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;477427.49
63.104.203/0001-48;2026-06-30;1;PMNE Rei do Sol;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;10185932.61
63.104.203/0001-48;2026-06-30;1;PMNE Catolé;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;8998599.09
63.104.203/0001-48;2026-06-30;1;Aegea Pará - Concórdia;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;23357538.46
63.104.203/0001-48;2026-06-30;1;Três Rios;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;18181657.1
63.104.203/0001-48;2026-06-30;1;Enersim  11;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;41147539.61
63.104.203/0001-48;2026-06-30;1;Aegea RJ Águas 2;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;6779749
65.060.467/0001-72;2026-03-31;1;DIR CR0001E7;cessão onerosa, sem coobrigação, pelo Cedente ao Cessionário, da totalidade das Séries Subordinadas dos CRI de Home Equity de titularidade do Cedente, conforme indicadas no Anexo I a este instrumento, compreendendo, nos termos dos artigos 287, 293, 295 e 893 do Código Civil, a transferência de todos os direitos, privilégios, preferências, prerrogativas, acessórios, valores, presentes e futuros, devidos e ações inerentes ao titular das Séries Subordinadas dos CRI de Home Equity ("Cessão de Créditos");71357001.07
65.060.467/0001-72;2026-06-30;1;DIR CR0001E7;cessão onerosa, sem coobrigação, pelo Cedente ao Cessionário, da totalidade das Séries Subordinadas dos CRI de Home Equity de titularidade do Cedente, conforme indicadas no Anexo I a este instrumento, compreendendo, nos termos dos artigos 287, 293, 295 e 893 do Código Civil, a transferência de todos os direitos, privilégios, preferências, prerrogativas, acessórios, valores, presentes e futuros, devidos e ações inerentes ao titular das Séries Subordinadas dos CRI de Home Equity ("Cessão de Créditos");19483163.71
65.782.151/0001-94;2026-06-30;1;Canas IIA;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;6589414
65.782.151/0001-94;2026-06-30;1;Canas IIB;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;3630422
65.782.151/0001-94;2026-06-30;1;Consesul;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;5730926
65.782.151/0001-94;2026-06-30;1;Itaqui IIA;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;7007009
65.782.151/0001-94;2026-06-30;1;Itaqui IIB;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;9432651
65.782.151/0001-94;2026-06-30;1;Guanambi;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;40230999
65.782.151/0001-94;2026-06-30;1;São Pedro;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;7410963
65.782.151/0001-94;2026-06-30;1;Dona Esperança;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;7399335
65.782.151/0001-94;2026-06-30;1;Mão na Terra;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;8208803
65.782.151/0001-94;2026-06-30;1;Ibiá;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;14944595
65.782.151/0001-94;2026-06-30;1;Uruguaiana;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;23309813
65.782.151/0001-94;2026-06-30;1;Providência;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;19233604
65.782.151/0001-94;2026-06-30;1;Itália;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;19380090
65.782.151/0001-94;2026-06-30;1;Bela Vista IV;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;21322669
65.782.151/0001-94;2026-06-30;1;Bela Vista I;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;20667450
65.782.151/0001-94;2026-06-30;1;Quatis;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;7547270
65.782.151/0001-94;2026-06-30;1;Sapucaia IV;Aquisição do Direito Real de Superfície onde está instalada uma usina solar fotovoltaica que se encontra locada para um consórcio de consumidores.;8339987
