CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
01.235.622/0001-61;2026-03-31;2;Imóveis para renda em construção;PISCINA DE ONDAS;n/a;n/a
01.235.622/0001-61;2026-03-31;2;Imóveis para venda em construção;PRUDENTE DE MORAIS, 589;n/a;n/a
01.235.622/0001-61;2026-03-31;2;Imóveis para venda em construção;RUA TONELERO, 61;n/a;n/a
01.235.622/0001-61;2026-03-31;2;Imóveis para venda em construção;GREEN PARK BARRA (Lt. 1 Fases - 1 e 2);n/a;n/a
01.235.622/0001-61;2026-03-31;2;Imóveis para venda em construção;HOMEM DE MELO - TIJUCA;n/a;n/a
01.235.622/0001-61;2026-03-31;2;Imóveis para venda em construção;MARIA QUITERIA 46 E PRUDENTE DE MORAIS 1050;n/a;n/a
01.235.622/0001-61;2026-03-31;2;Imóveis para venda em construção;BARAO DA TORRE, 662;n/a;n/a
01.235.622/0001-61;2026-03-31;2;Imóveis para venda em construção;POMPEU LOUREIRO, 110/112;n/a;n/a
01.235.622/0001-61;2026-03-31;2;Imóveis para venda em construção;SIQUEIRA CAMPOS, 37;n/a;n/a
01.235.622/0001-61;2026-03-31;2;Imóveis para venda em construção;NASCIMENTO SILVA 387 E REDENTOR 150;n/a;n/a
01.235.622/0001-61;2026-03-31;2;Imóveis para venda em construção;HOTEL GLORIA;n/a;n/a
01.235.622/0001-61;2026-06-30;1;Imóveis para venda em construção;NASCIMENTO SILVA 387 E REDENTOR 150;n/a;n/a
01.235.622/0001-61;2026-06-30;1;Imóveis para venda em construção;RUA TONELERO, 61;n/a;n/a
01.235.622/0001-61;2026-06-30;1;Imóveis para venda em construção;BARAO DA TORRE, 662;n/a;n/a
01.235.622/0001-61;2026-06-30;1;Imóveis para venda em construção;SIQUEIRA CAMPOS, 37;n/a;n/a
01.235.622/0001-61;2026-06-30;1;Imóveis para venda em construção;PRUDENTE DE MORAIS, 589;n/a;n/a
01.235.622/0001-61;2026-06-30;1;Imóveis para venda em construção;POMPEU LOUREIRO, 110/112;n/a;n/a
01.235.622/0001-61;2026-06-30;1;Imóveis para venda em construção;GREEN PARK BARRA (Lt. 1 Fases - 1 e 2);n/a;n/a
01.235.622/0001-61;2026-06-30;1;Imóveis para venda em construção;HOMEM DE MELO - TIJUCA;n/a;n/a
01.235.622/0001-61;2026-06-30;1;Imóveis para venda em construção;MARIA QUITERIA 46 E PRUDENTE DE MORAIS 1050;n/a;n/a
01.235.622/0001-61;2026-06-30;1;Imóveis para venda em construção;HOTEL GLORIA;n/a;n/a
01.235.622/0001-61;2026-06-30;1;Imóveis para renda em construção;PISCINA DE ONDAS;n/a;n/a
05.437.916/0001-27;2026-03-31;1;Imóveis para renda em construção;Centro de distribuição Anhanguera , CDA  - Rodovia Anahnguera , KM 17;A primeira etapa da obra envolve os trâmites burocráticos de obtenção da documentação , ou seja, a construção efetiva ainda não foi iniciada;Não se aplica
05.437.916/0001-27;2026-06-30;1;Imóveis para renda em construção;Centro de distribuição Anhanguera , CDA  - Rodovia Anahnguera , KM 17;Não se aplica;Não se aplica
08.693.497/0001-82;2026-06-30;1;Imóveis para renda em construção;Não possui informação apresentada;Não possui informação apresentada;Não possui informação apresentada
12.989.974/0001-29;2026-03-31;1;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas;O FII PM não arca com custo de construção.
12.989.974/0001-29;2026-06-30;1;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas;O FII PM não arca com custo de construção.
15.461.076/0001-91;2026-03-31;1;Imóveis para renda em construção;13 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2026-03-31;1;Imóveis para renda em construção;51 Unidades Master no Hotel;;
15.461.076/0001-91;2026-03-31;1;Imóveis para renda em construção;64 Unidades Standard no Hotel;;
15.461.076/0001-91;2026-03-31;1;Imóveis para renda em construção;3 Centros de Convenções no Hotel;;
15.461.076/0001-91;2026-06-30;1;Imóveis para renda em construção;09 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2026-06-30;1;Imóveis para renda em construção;51 Unidades Master no Hotel;;
15.461.076/0001-91;2026-06-30;1;Imóveis para renda em construção;64 Unidades Standard no Hotel;;
15.461.076/0001-91;2026-06-30;1;Imóveis para renda em construção;3 Centros de Convenções no Hotel;;
16.915.968/0001-88;2026-03-31;1;Imóveis para renda em construção;Paes de Barros;de acordo com o previsto;de acordo com o previsto
16.915.968/0001-88;2026-03-31;1;Imóveis para renda em construção;Corifeu;de acordo com o previsto;de acordo com o previsto
16.915.968/0001-88;2026-06-30;1;Imóveis para renda em construção;Corifeu;de acordo com o previsto;de acordo com o previsto
16.915.968/0001-88;2026-06-30;1;Imóveis para renda em construção;Paes de Barros;de acordo com o previsto;de acordo com o previsto
17.311.079/0001-74;2026-03-31;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica
17.311.079/0001-74;2026-06-30;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica
18.369.510/0001-04;2026-03-31;1;Imóveis para renda em construção;.;;
18.369.510/0001-04;2026-06-30;1;Imóveis para renda em construção;.;;
19.249.989/0001-08;2026-03-31;1;Imóveis para venda em construção;Não aplicável;Não aplicável;Não aplicável
19.249.989/0001-08;2026-06-30;1;Imóveis para venda em construção;Não aplicável;Não aplicável;Não aplicável
20.265.467/0001-70;2026-03-31;1;Imóveis para venda em construção;Não possui informação apresentada;Não possui informação apresentada;Não possui informação apresentada
20.265.467/0001-70;2026-06-30;1;Imóveis para venda em construção;Não possui informação apresentada;Não possui informação apresentada;Não possui informação apresentada
20.680.775/0001-62;2026-03-31;1;Imóveis para renda em construção;Condomínio Funchal;Não aplicável.;Não aplicável.
20.680.775/0001-62;2026-06-30;1;Imóveis para renda em construção;Condominio Funchal 641;Não aplicável;Não aplicável
20.820.603/0001-47;2026-06-30;1;Imóveis para venda em construção;Não se aplica;;
22.646.161/0001-90;2026-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 201 - Bl 4 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 101 - Bl 5 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 301 - Bl 4 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 201 - Bl 5 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 202 - Bl 1 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 101 - Bl 3 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 101 - Bl 1 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 102 - Bl 5 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 202 - Bl 3 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 202 - Bl 5 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 102 - Bl 3 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 202 - Bl 4 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-06-30;1;Imóveis para venda em construção;Frad.E - Unid. 201 - Bl 5 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-06-30;1;Imóveis para venda em construção;Frad.E - Unid. 202 - Bl 5 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-06-30;1;Imóveis para venda em construção;Frad.E - Unid. 101 - Bl 3 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-06-30;1;Imóveis para venda em construção;Frad.E - Unid. 301 - Bl 4 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-06-30;1;Imóveis para venda em construção;Frad.E - Unid. 201 - Bl 4 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-06-30;1;Imóveis para venda em construção;Frad.E - Unid. 102 - Bl 5 - Village Acqua;n/a;n/a
22.646.161/0001-90;2026-06-30;1;Imóveis para venda em construção;Frad.E - Unid. 101 - Bl 1 - Village Acqua;n/a;n/a
