CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
08.431.747/0001-06;2026-03-31;1;Suzano Shopping;Rua Sete de Setembro, 555 - Suzano - SP;2026-01-06;25100;134;Fração ideal de 15% do imóvel;0.018846;0.019604
08.431.747/0001-06;2026-06-30;1;I Fashion Outlet Novo Hamburgo;Rodovia BR 116 Km 239 - Novo Hamburgo, RS;2026-05-19;20100;92;Fração ideal de 18,375% do imóvel;0.014113;0.018424
08.706.065/0001-69;2026-03-31;2;Gran Estanplaza;Rua Doutor Nelson Libero, 1517, Sem Complemento, Cidade Moncoes, Sao Paulo/SP, Brasil, 04567-010;2026-01-10;30.45;2;Dirieto de propriedade.;0.00352652727364;0.035803089426
08.706.065/0001-69;2026-03-31;2;Intercity Paulista;Rua Haddock Lobo, 294, Sem Complemento, Cerqueira Cesar, Sao Paulo/SP, Brasil, 01414-000;2026-01-14;28.06;2;Dirieto de propriedade.;0.00273531923147;0.0277703450035
08.706.065/0001-69;2026-03-31;2;Ibis Sao Paulo Paulista;Avenida Paulista, 2355, Sem Complemento, Bela Vista, Sao Paulo/SP, Brasil, 01311-300;2026-01-26;17.7;1;Dirieto de propriedade.;0.00137444139896;0.0139540245968
08.706.065/0001-69;2026-03-31;2;Ibis Sao Paulo Paulista;Avenida Paulista, 2355, Sem Complemento, Bela Vista, Sao Paulo/SP, Brasil, 01311-300;2026-01-26;17.7;1;Dirieto de propriedade.;0.00136765961574;0.01388517250175
08.706.065/0001-69;2026-03-31;2;Intercity Paulista;Rua Haddock Lobo, 294, Sem Complemento, Cerqueira Cesar, Sao Paulo/SP, Brasil, 01414-000;2026-02-02;28.06;1;Dirieto de propriedade.;0.00137676934504;0.01412753373245
08.706.065/0001-69;2026-03-31;2;Intercity Paulista;Rua Haddock Lobo, 294, Sem Complemento, Cerqueira Cesar, Sao Paulo/SP, Brasil, 01414-000;2026-02-02;28.06;1;Dirieto de propriedade.;0.00137676934504;0.01412753373245
08.706.065/0001-69;2026-03-31;2;Intercity Paulista;Rua Haddock Lobo, 294, Sem Complemento, Cerqueira Cesar, Sao Paulo/SP, Brasil, 01414-000;2026-02-01;28.06;1;Dirieto de propriedade.;0.00138351821438;0.01419678634878
08.706.065/0001-69;2026-03-31;2;Estanplaza International;Rua Fernandes Moreira, 1293, Sem Complemento, Chacara Santo Antonio Zona Sul, Sao Paulo/SP, Brasil, 04716-003;2026-02-04;26.6;1;Dirieto de propriedade.;0.00102357851633;0.01050331347756
08.706.065/0001-69;2026-03-31;2;Intercity Paulista;Rua Haddock Lobo, 294, Sem Complemento, Cerqueira Cesar, Sao Paulo/SP, Brasil, 01414-000;2026-02-18;28.06;1;Dirieto de propriedade.;0.00138126859126;0.01417370214334
08.706.065/0001-69;2026-03-31;2;Intercity Paulista;Rua Haddock Lobo, 294, Sem Complemento, Cerqueira Cesar, Sao Paulo/SP, Brasil, 01414-000;2026-02-22;28.06;1;Dirieto de propriedade.;0.00138351821438;0.01419678634878
08.706.065/0001-69;2026-03-31;2;Ibis Sao Paulo Paulista;Avenida Paulista, 2355, Sem Complemento, Bela Vista, Sao Paulo/SP, Brasil, 01311-300;2026-03-03;17.7;1;Dirieto de propriedade.;0;0.0139540245968
08.706.065/0001-69;2026-03-31;2;Intercity Paulista;Rua Haddock Lobo, 294, Sem Complemento, Cerqueira Cesar, Sao Paulo/SP, Brasil, 01414-000;2026-03-04;28.06;1;Dirieto de propriedade.;0;0.01412753373245
08.706.065/0001-69;2026-03-31;2;Intercity Paulista;Rua Haddock Lobo, 294, Sem Complemento, Cerqueira Cesar, Sao Paulo/SP, Brasil, 01414-000;2026-03-09;28.06;1;Dirieto de propriedade.;0;0.01412753373245
08.706.065/0001-69;2026-06-30;1;Blue Tree Faria Lima;Avenida Brigadeiro Faria Lima, 3989, Sem Complemento, Itaim Bibi, São Paulo/SP, Brasil, 00004-538;2026-03-30;354.26;1;Direito de Propriedade;0.00148219507989;0.15261062949504
08.706.065/0001-69;2026-06-30;1;Blue Tree Faria Lima;Avenida Brigadeiro Faria Lima, 3989, Sem Complemento, Itaim Bibi, São Paulo/SP, Brasil, 00004-538;2026-03-30;354.26;1;Direito de Propriedade;0.0014934238305;0.15376677062758
08.706.065/0001-69;2026-06-30;1;Intercity Paulista;Rua Haddock Lobo, 294, Sem Complemento, Cerqueira Cesar, Sao Paulo/SP, Brasil, 01414-000;2026-03-30;632.7;1;Direito de Propriedade;0.00138787357481;0.14289904398172
08.706.065/0001-69;2026-06-30;1;Intercity Paulista;Rua Haddock Lobo, 294, Sem Complemento, Cerqueira Cesar, Sao Paulo/SP, Brasil, 01414-000;2026-03-31;632.7;1;Direito de Propriedade;0.00138787357481;0.14289904398172
08.706.065/0001-69;2026-06-30;1;Intercity Paulista;Rua Haddock Lobo, 294, Sem Complemento, Cerqueira Cesar, Sao Paulo/SP, Brasil, 01414-000;2026-04-04;632.7;1;Direito de Propriedade;0.00138787357481;0.1429
08.706.065/0001-69;2026-06-30;1;Ibis Sao Paulo Morumbi;Avenida Roque Petroni Junior, 800, Sem Complemento, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-000;2026-04-21;13234.8;1;Direito de Propriedade;0.001141;0.11746393906588
08.706.065/0001-69;2026-06-30;1;Intercity Paulista;Rua Haddock Lobo, 294, Sem Complemento, Cerqueira Cesar, Sao Paulo/SP, Brasil, 01414-000;2026-04-11;632.7;1;Direito de Propriedade;0.00138787357481;0.14289904398172
08.706.065/0001-69;2026-06-30;1;Innside by Melia Sao Paulo Iguatemi;Rua Iguatemi, 150, Sem Complemento, Itaim Bibi, Sao Paulo/SP, Brasil, 01451-010;2026-05-05;259.2;1;Direito de Propriedade;0.00138698463461;0.1439
08.706.065/0001-69;2026-06-30;1;Ibis Sao Paulo Morumbi;Avenida Roque Petroni Junior, 800, Sem Complemento, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-000;2026-05-12;13234.8;1;Direito de Propriedade;0.001141;0.11835897210391
08.706.065/0001-69;2026-06-30;1;Intercity Premium Ibirapuera;Avenida Ibirapuera, 2577, Sem Complemento, Indianopolis, Sao Paulo/SP, Brasil, 04029-200;2026-06-06;106.4;1;Direito de Propriedade;0.001141;0.1429
08.706.065/0001-69;2026-06-30;1;Ibis Sao Paulo Morumbi;Avenida Roque Petroni Junior, 800, Sem Complemento, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-000;2026-06-08;13234.8;1;Direito de Propriedade;0.001141;0.1439
12.005.956/0001-65;2026-03-31;1;Jundiaí Industrial Park;Rodovia Vice Prefeito Hermenegildo Tonolli, km 2, Jundiaí - SP;2026-01-15;75975.6;2;Proprietário de 90% do ativo (Centro de distribuição);0.0555841641083268;0.0515970095446225
13.371.132/0001-71;2026-03-31;1;Ed. Tower Bridge Corporate;Av. Jornalista Roberto Marinho, 85, Cidade Monções, Sao Paulo - SP;2026-03-04;13060.07725;13;.;0.230692018085723;0.116548315540738
14.410.722/0001-29;2026-03-31;1;TOLEDO;RUA 7 DE SETEMBRO, 1209;2026-01-15;4696;1;Nenhuma característica relevante;-0.008418;-0.007837
14.410.722/0001-29;2026-06-30;1;FLORIPA;PRACA XV DE NOVEMBRO, 321;2026-06-17;6788.73;1;Nenhuma característica relevante;-0.025959;-0.023632
14.413.342/0001-48;2026-03-31;1;Imóvel Campo Grande;Rua Campo Grande, 120 , Lote 08 do PAL 47.371 - Campo Grande - Rio de Janeiro - RJ;2026-01-01;7212.14;1;Edifícil Comercial;0.0946324571068786;0.0831984071652881
15.461.076/0001-91;2026-06-30;1;THE ONE OFFICE;Av. Itália esquina com a Rua Jurandir Martins - Taubaté SP;2026-04-16;62.79;1;UNIDADE 1007;0.0044;0.0042
