CNPJ_Fundo_Classe;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
11.268.335/0001-01;2026-03-31;1;Março - 2026;0.005016;0.005016
11.268.335/0001-01;2026-03-31;1;Fevereiro - 2026;0.004846;0.004846
11.268.335/0001-01;2026-03-31;1;Janeiro - 2026;0.004816;0.004816
11.268.335/0001-01;2026-06-30;1;Junho - 2026;0.005313;0.005313
11.268.335/0001-01;2026-06-30;1;Maio - 2026;0.004852;0.004852
11.268.335/0001-01;2026-06-30;1;Abril - 2026;0.004389;0.004389
11.839.593/0001-09;2026-03-31;2;03/2026;0.005717;0.00558558220461
11.839.593/0001-09;2026-03-31;2;02/2026;0.001738;0.00160736043489
11.839.593/0001-09;2026-03-31;2;01/2026;0.008466;0.00767320341267
11.839.593/0001-09;2026-06-30;1;06/2026;0.045995;0.04594742800027
11.839.593/0001-09;2026-06-30;1;05/2026;0.002274;0.00227368289457
11.839.593/0001-09;2026-06-30;1;04/2026;0.010966;0.01096578574661
12.005.956/0001-65;2026-03-31;1;mar/26;0.00595245521315436;0.00595245521315436
12.005.956/0001-65;2026-03-31;1;fev/26;0.00523698658405719;0.00523698658405719
12.005.956/0001-65;2026-03-31;1;jan/26;0.0154257827399697;0.0154257827399697
12.005.956/0001-65;2026-06-30;1;abr/26;0.00533025276032409;0.00533025276032409
12.005.956/0001-65;2026-06-30;1;mai/26;0.00550327058208123;0.00550327058208123
12.005.956/0001-65;2026-06-30;1;jun/26;0.00522280320793213;0.00522280320793213
12.681.340/0001-04;2026-03-31;1;Março - 2026;0.006846;0.006846
12.681.340/0001-04;2026-03-31;1;Fevereiro - 2026;0.007353;0.007353
12.681.340/0001-04;2026-03-31;1;Janeiro - 2026;0.013321;0.013321
12.681.340/0001-04;2026-06-30;1;Junho - 2026;0.007825;0.007825
12.681.340/0001-04;2026-06-30;1;Maio - 2026;0.016134;0.016134
12.681.340/0001-04;2026-06-30;1;Abril - 2026;0.01551;0.01551
14.410.722/0001-29;2026-03-31;1;Janeiro - 2026;0.000979;0.000979
14.410.722/0001-29;2026-03-31;1;Fevereiro - 2026;0.009239;0.009239
14.410.722/0001-29;2026-03-31;1;Março - 2026;0.009714;0.009714
14.410.722/0001-29;2026-06-30;1;Junho - 2026;-0.02298;-0.02298
14.410.722/0001-29;2026-06-30;1;Maio - 2026;0.008881;0.008881
