CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
28.267.696/0001-36;2026-03-31;1;Avenida Presidente Kubitschek, 260, Sem Complemento, Jardim Presidente, Goiânia/GO, Brasil, 74353-250;68667;Não possui informação apresentada;6.43119528591837;7.01983626263366
28.548.288/0001-52;2026-06-30;1;OSÓRIO - RS;22868;Direito de propriedade;0;0
30.492.505/0001-81;2026-06-30;1;Avenida Venezuela Nº 53;1032.32;Avenida Venezuela, Nº 53, objeto da matrícula 192.202 do 4º Ofício de Registro de Imóveis do Rio de Janeiro.;0.003644;0.001365
44.002.561/0001-03;2026-06-30;1;Data 4_PR - Rua rio grande do sul, Qd 162, Londrina-PR;1931.25;Matricula 75916, 77308 e 77309;0;0
49.318.661/0001-59;2026-03-31;1;MT106889;6177.25;Não possui informação apresentada;0;0
49.318.661/0001-59;2026-06-30;1;MT106889;6177.25;Não possui informação apresentada;0;0
50.957.247/0001-79;2026-03-31;1;Rua Eduardo Pinto da Rocha, 4031, Ganchinho - Curitiba/PR;12218.8;MAT. 123.587 E 123.588;0;0
50.957.247/0001-79;2026-06-30;1;Rua Eduardo Pinto da Rocha, 4031, Ganchinho - Curitiba/PR;12218.8;MAT. 123.587 E 123.588;0;0
54.505.336/0001-35;2026-03-31;1;Rodovia Marechal Rondon, KM 300 + 269m Leste, São Manuel - SP;25000;Matrícula 31037;0;0
54.505.336/0001-35;2026-06-30;1;Rodovia Marechal Rondon, KM 300 + 269m Leste, São Manuel - SP;25000;Matrícula 31037;0;0
54.645.216/0001-33;2026-03-31;1;Avenida Bela Vista, S/n, Quadra 14, 15 E 18, Jardim Santo Antônio, Goiânia/GO, Brasil, 74860-210;18401.8;Não possui informação apresentada;4.57902423491992;4.93620483376909
57.593.613/0001-05;2026-03-31;1;Avenida Bela Vista, S/n, Quadra 14, 15 E 18, Jardim Santo Antônio, Goiânia/GO, Brasil, 74860-210;18401.8;Direito de Propriedade;3.39664951903648;4.32911058286939
59.139.645/0001-52;2026-03-31;1;Rua Apôlonio Pereira Martins, 139, Casa Amarela, Betim - MG.;21324;Parque Fabril - Betim (matrícula 91.936 e 106.956);1;0.814
60.522.814/0001-18;2026-06-30;1;matriculado sob o nº 2.656 perante o Registro de Imóveis da Comarca de Mandaguari/PR;5500;imóvel matriculado sob o nº 2.656;0.3799;0.372
62.935.643/0001-84;2026-03-31;1;Av. Rebouças, 2.366 e 2.360 - São Paulo;1458.1;Matrículas 91.780 e 98.876;0.144361411808006;0.3102
63.375.304/0001-53;2026-03-31;1;Rua Tocantins, área 4, bairro BoaVista, na cidade de São Gonçalo, estado do Rio de Janeiro;922.3;Imóvel Adjacente  A do São Gonçalo Shopping;;
63.375.304/0001-53;2026-03-31;1;Rua Tocantins, área 5, bairro Boa Vista, na cidade de São Gonçalo, estado do Rio de Janeiro;3820.3;Imóvel Adjacente  B do São Gonçalo Shopping;;
63.375.304/0001-53;2026-03-31;1;Avenida Frederico Marques, bairro Boa Vista, na cidade de São Gonçalo, estado do Rio de Janeiro, CEP: 24446-240;2210.25;Imóvel Adjacente C do São Gonçalo Shopping;;
63.375.304/0001-53;2026-03-31;1;Lote 2L1A, bairro Boa Vista, na cidade de São Gonçalo, estado do Rio de Janeiro, CEP: 24446-240;31060.5;Imóvel Adjacente D do São Gonçalo Shopping;;
