CNPJ_Fundo_Classe;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
41.969.521/0001-39;2026-03-31;1;;;;;;;;;0;0;1292821.26;1275322.53;;;;;;;;;;;1292821.26;1275322.53;212126.05;212126.05;;;;;;;212126.05;212126.05;1504947.31;1487448.58;18626.75;0;;;;;;;18626.75;0;;;-104004.78;-104079.64;;;-15000;-15000;;;;;-3586.38;-3586.38;-7200;-7200;;;-1480.47;0;;;-477.3;-477.3;;;-33460;-33460;;;;;-1028.13;-678.93;-166237.06;-164482.25;1357337;1322966.33;1322966.33;1256818.0135;;;1256818.0135;-1165607.52;91210.4935;0.95
42.273.325/0001-98;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;3679110.1;3679110.1;1831292.65;0;-71948.62;-71948.62;1132301.81;1132301.81;6570755.94;4739463.29;6570755.94;4739463.29;1690405.05;1690405.05;;;;;;;1690405.05;1690405.05;;;-391899.17;-385085.39;-294158.71;0;-11477.46;-11477.46;;;;;-10883.92;-11213.9;-10330.35;-42000;;;-405810.49;-398403.26;;;;;;;;;;;;;-19696.92;-27317.57;-1144257.02;-875497.58;7116903.97;5554370.76;5554370.76;5276652.222;;847108.92;6401479.682;-4445472;1956007.682;1.152512
43.619.174/0001-40;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;1497.57;;;;;;;;1497.57;0;;;-47106.39;-47106.39;;;-2220.52;-3330.78;;;;;;;-10950;-5475;;;-1722.03;;;;;;;;;;;;;;-580.28;-455.44;-62579.22;-56367.61;-61081.65;-56367.61;-56367.61;0;;0;0;0;0;0
43.740.825/0001-55;2026-03-31;1;;;;;;;;;0;0;2193939.37;1146831.94;;;;;;;;;;0;2193939.37;1146831.94;19013.8;;;;;;;;19013.8;0;2212953.17;1146831.94;1123935.84;;;;;;;;1123935.84;0;;;-72000;-67636.36;;;-3000;-1000;;;;;;;-12980;-12980;;;;;;;;;;;;;;;;;-303879.04;-303879.04;-391859.04;-385495.4;2945029.97;761336.54;761336.54;723269.713;;;723269.713;0;723269.713;0.95
44.584.965/0001-44;2026-03-31;1;;;;;;;;;0;0;;;;;;100000;;;;;-104289.3;-104288.85;-104289.3;-4288.85;;;;;;;;;0;0;-104289.3;-4288.85;4.76;;;;;;;;4.76;0;;;-35093.3;-31759.75;;;-4528.66;-4265;;;;;;;;;;;;;;;-192.1;-192.1;;;;;;;;;-3012.96;-3012.96;-42827.02;-39229.81;-147111.56;-43518.66;-43518.66;0;;;0;0;0;0
44.585.121/0001-18;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;-13445.29;-13445.29;-13445.29;-13445.29;;;;;;;;;0;0;-13445.29;-13445.29;0.05;;;;;;;;0.05;0;;;-1262.44;-7126.88;;;-1621;-1621;;;;;;;;;;;;;;;;;;;;;;;;;-9464.2;-14993.94;-12347.64;-23741.82;-25792.88;-37187.11;-37187.11;0;;;0;0;0;0
44.680.435/0001-08;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;3710256.72;815353.16;;;;;;;3710256.72;815353.16;3710256.72;815353.16;31137.86;31137.86;;;;;;;31137.86;31137.86;;;-334250.95;-221711.83;;;;;;;;;;;;;;;-13845.91;-11549.57;;;;;;;;;;;;;-43768.73;-58721.74;-391865.59;-291983.14;3349528.99;554507.88;554507.88;526782.486;;;552362.916;-552362.92;-0.004;0.996132
44.680.449/0001-13;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;-697560.14;13915.98;;;;;;;-697560.14;13915.98;-697560.14;13915.98;394210.25;;;;;;;;394210.25;0;;;-68533.28;-68523.64;;;;;;;;;;;-9000;-9000;;;-1512.89;-364.57;;;;;;;;;;;;;392600.12;-3141.38;313553.95;-81029.59;10204.06;-67113.61;-67113.61;0;;;0;0;0;0
45.254.732/0001-46;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;-187401.85;-187835.85;-187401.85;-187835.85;;;;;;;;;0;0;-187401.85;-187835.85;382533.28;;;;;;;;382533.28;0;;;-100995.06;-89216.09;;;-90973.4;-15766.42;;;;;-9572.16;-9572.16;-15000;-15000;;;;;;;-36173.29;-36173.29;;;;;;;;;-41774.08;-40670.08;-294487.99;-206398.04;-99356.56;-394233.89;-394233.89;0;;;0;0;0;0
46.157.348/0001-98;2026-03-31;1;;;;;;;;;0;0;;;;;174746.21;174746.21;;;;;;;174746.21;174746.21;29393.24;29393.24;58309.95;0;-79551.92;-79551.92;23489.1;23489.1;31640.37;-26669.58;206386.58;148076.63;106501.78;106501.78;;;;;;;106501.78;106501.78;;;-24053.24;-34111.36;;;-4827.09;-4827.09;;;;;-2805.4;-2785.92;-7870.83;;;;-25541.55;-23805.49;0.05;0.05;;;;;;;;;;;-1254.48;11323.04;-66352.54;-54206.77;246535.82;200371.64;200371.64;190353.058;;4678.36;205049.998;-151737;53312.998;1.023348
47.669.336/0001-05;2026-03-31;1;;;;;;;;;0;0;20000;20000;0;0;;;;;2561644.15;;-58362.61;-58362.25;2523281.54;-38362.25;;;;;;;;;0;0;2523281.54;-38362.25;;;;;;;;;0;0;;;-32279.86;-32990.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-14696.63;-14361.47;-46976.49;-47352.23;2476305.05;-85714.48;-85714.48;0;;;0;0;0;0
48.373.428/0001-06;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;589426.56;594002.8;;;;;96896.5;;686323.06;594002.8;686323.06;594002.8;5486.93;4997;;;;;;;5486.93;4997;;;-91437.84;-91437.84;;;;;;;;;;;;;;;;;;;-6250;-6250;;;;;;;;;-3221.83;-3211.1;-100909.67;-100898.94;590900.32;498100.86;498100;473195;;;0;0;0;0
48.964.604/0001-84;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;43084.13;;;;;;;;43084.13;0;43084.13;0;730.83;730.83;;;;;;;730.83;730.83;;;;;;;;;;;;;;;-7000;-7000;;;-781.11;;;;;;;;;;;;;;-3744.65;-3744.65;-11525.76;-10744.65;32289.2;-10013.82;-10013.82;0;;;0;0;0;0
50.399.189/0001-05;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;3722087.5;2296110.08;;;;;;;3722087.5;2296110.08;3722087.5;2296110.08;316542.5;;;;;;;;316542.5;0;;;-56909.35;-59941.58;;;;;;;;;;;;;;;-4899.22;;;;;;;;;;;;;;-11890.04;-11890.04;-73698.61;-71831.62;3964931.39;2224278.46;2224278.46;2113064.537;;;2288148.547;-2288148.55;-0.003;1.028715
51.303.221/0001-70;2026-03-31;1;;;;;;;;;0;0;;;;;;0;;;;;-2257.56;-2257.56;-2257.56;-2257.56;;;;;;;;;0;0;-2257.56;-2257.56;0;;;;;;;;0;0;;;-30061.6;-29092.59;;;0;0;;;;;-3496.6;-3320.43;;;;;;;;;0;0;;;;;;;;;-6329.81;-6329.81;-39888.01;-38742.83;-42145.57;-41000.39;-41000.39;0;;;0;0;0;0
51.476.870/0001-72;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;13001659.93;;;;;;13001659.93;0;13001659.93;0;4260.19;4260.19;;;;;;;4260.19;4260.19;;;-30725.48;-25101.23;;;-12500;-12500;;;;;;;;;;;;;;;;;;;;;;;;;-125;-125;-43350.48;-37726.23;12962569.64;-33466.04;-33466.04;0;;;0;0;0;0
51.753.261/0001-13;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;234.49;234.49;;;;;;;234.49;234.49;;;-64135.15;-2000;;;-56398.06;0;;;;;0;0;-8000;0;;;-1761.97;-25.91;;;;;;;;;;;-2500;-2500;-1141.78;1958.22;-133936.96;-2567.69;-133702.47;-2333.2;-2333.2;0;;0;0;0;0;0
52.324.762/0001-47;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;391278.13;528432.99;;;;;;;391278.13;528432.99;391278.13;528432.99;404086.96;;;;;;;;404086.96;0;;;-48210.01;-48210.01;;;;;;;;;;;;;;;-3052.75;;;;;;;;;;;;;;-139872.54;-11798.04;-191135.3;-60008.05;604229.79;468424.94;468424.94;445003.693;;;472269.743;-472269.74;0.003;1.008208
52.356.865/0001-99;2026-03-31;1;;;;;;;;;0;0;70000;70000;;;;;;;;;-536839.16;-16879.26;-466839.16;53120.74;-1387968.65;;;;;;;;-1387968.65;0;-1854807.81;53120.74;189329.5;189329.5;;;;;;;189329.5;189329.5;;;-52668.58;-49346.73;;;-592.73;;;;;;;;-8000;-8000;;;;;;;;;;;;;;;;;-159634.28;-218737.26;-220895.59;-276083.99;-1886373.9;-33633.75;-33633.75;0;;0;0;0;0;0
52.366.833/0001-74;2026-03-31;1;0;0;0;0;0;0;0;0;0;0;66690;66690;;;;;;;;;;;66690;66690;;;475532.1;475532.1;;;;;475532.1;475532.1;542222.1;542222.1;;;;;;;;;0;0;;;-160144.82;-148174.42;;;-774364.16;-774364.16;;;;;-16606.38;-16377.65;-4155.06;-4155.06;;;;;;;;;;;;;;;;;-41054.77;-41054.77;-996325.19;-984126.06;-454103.09;-441903.96;-441903.96;0;;0;0;0;0;0
53.322.282/0001-00;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;0;0;0;;;;;;;;;0;0;0;0;;;;;;;;;0;0;;;-87000;;;;;;;;;;-3000;;;;;;-358.48;;;;;;;;;;;;;;-8187.69;;-98546.17;0;-98546.17;0;0;0;;;0;0;0;0
53.322.347/0001-17;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;0;0;0;2945029.97;;;;;;;;2945029.97;0;2945029.97;0;38136.05;;;;;;;;38136.05;0;;;-87000;-30000;;;;;;;;;-3000;;-7000;-7000;;;;;;;;;;;;;;;;;-40;-40;-97040;-37040;2886126.02;-37040;-37040;0;;;0;0;0;0
53.645.729/0001-81;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;1167452.6;627514.94;1167452.6;627514.94;1167452.6;627514.94;149187.25;90000;;;;;;;149187.25;90000;;;-47434.76;-47434.76;;;;;;;;;;;;;;;-6927.66;-300;;;;;;;;;;;;;-1665.01;-1665.01;-56027.43;-49399.77;1260612.42;668115.17;668115.17;634709.4115;;;659250.4115;-659250.41;0.0015;0.986732
54.010.546/0001-52;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;4670667.7;4582071.38;;;;;;;4670667.7;4582071.38;4670667.7;4582071.38;137444.94;146703.92;;;;;;;137444.94;146703.92;;;-56744.16;-56742.33;;;;;;;;;;;;;;;;;;;0;-405263.34;;;;;;;-16123.43;-16000;;;-72867.59;-478005.67;4735245.05;4250769.63;4250769.63;4038231.1485;;;4251396.1885;-4251396.2;-0.0115;1.000147
54.417.489/0001-20;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;1515.61;1515.61;;;;;;;1515.61;1515.61;;;-75000;-99000;;;;;;;;;;;-11000;-11000;;;;;;;-13322.5;-13322.5;;;;;;;;;-1060;-1060;-100382.5;-124382.5;-98866.89;-122866.89;-122866.89;0;;;0;0;0;0
54.419.040/0001-00;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;6500;;;-3051.39;6500;-3051.39;;;;;;;;;0;0;6500;-3051.39;329.19;329.19;;;;;;;329.19;329.19;;;-368.19;-553.72;;;-3949.5;-3949.5;;;;;;;;;;;;;;;-29248.19;-29248.19;;;;;;;-168;-168;-8586.3;-8586.3;-42320.18;-42505.71;-35490.99;-45227.91;-45227.91;0;;;0;0;0;0
55.435.378/0001-00;2026-03-31;1;;;;;;;;;0;0;;;583196.31;-72407.53;;;;;;;-56853.86;;526342.45;-72407.53;;;;;;;;;0;0;526342.45;-72407.53;-2455094.23;0;;;;;;;-2455094.23;0;;;-108493.63;-108493.63;;;-9000;-9000;;;;;;;;;;;-474598.77;-473450.75;;;-30429.32;-700;;;;;;;;;-1429.68;-1429.68;-623951.4;-593074.06;-2552703.18;-665481.59;-665481.59;0;;0;0;0;0;0
57.136.514/0001-96;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;251694.59;;;;;;;;251694.59;0;251694.59;0;84769.29;0;;;;;;;84769.29;0;;;-64370.95;-61110.82;-9325.34;0;;;;;;;;;-7500;-7500;;;-764.94;0;;;;;;;;;;;;;-2682.71;-2590.39;-84643.94;-71201.21;251819.94;-71201.21;-71201.21;0;;0;0;0;0;0
57.904.514/0001-99;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;0;0;0;0
58.268.583/0001-16;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;4262389.14;;;;;;;;4262389.14;0;4262389.14;0;376.25;376.25;;;;;;;376.25;376.25;;;-182171.92;-119285.01;;;;;;;;;;;-11000;-11000;;;-3123.98;;;;;;;;-24000;-24000;;;;;-987.21;-987.21;-221283.11;-155272.22;4041482.28;-154895.97;-154895.97;0;;;0;0;0;0
59.030.677/0001-15;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;0;0;0;975761.62;1168618.49;;;;;;;975761.62;1168618.49;975761.62;1168618.49;204728.8;196000;;;;;;;204728.8;196000;;;-77824.09;-45000;;;;;;;;;;;;;;;-2342.72;;;;;;;;;;;;;;-4724.69;-4709.69;-84891.5;-49709.69;1095598.92;1314908.8;1314908.8;1249163.36;;;1249163.36;-1250000.09;-836.73;0.95
59.139.645/0001-52;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;231.42;231.42;;;;;;;231.42;231.42;;;-45000;-37500;;;;;;;;;;;;;;;;;;;;;;;-25000;-25000;;;;;-103.06;-103.06;-70103.06;-62603.06;-69871.64;-62371.64;-62371.64;0;;;0;0;0;0
59.269.477/0001-10;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;-7974.51;;;;;;;;-7974.51;0;;;-37500;-30000;;;;;;;;;;;-14008;-14008;;;;;;;;0;;;;;;;;;-40;-40;-51548;-44048;-59522.51;-44048;-44048;0;;;0;0;0;0
60.373.688/0001-87;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;5637959.58;3379.19;;;;;;;5637959.58;3379.19;5637959.58;3379.19;233.35;233.35;;;;;;;233.35;233.35;;;-302393.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-302393.34;0;5335799.59;3612.54;0;0;;;0;0;0;0
60.480.984/0001-87;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;1490295.27;5116.08;;;;;;;1490295.27;5116.08;1490295.27;5116.08;255.51;255.51;;;;;;;255.51;255.51;;;-86887.75;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-199211.67;0;-286099.42;0.02;1204451.36;5371.61;5371.61;5103.0295;;;5103.0295;0;5103.0295;0.95
60.522.814/0001-18;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;7651.25;7651.25;;;;;;;7651.25;7651.25;;;-60010;-60010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1660.51;-3426;-61670.51;-63436;-54019.26;-55784.75;-55784.75;0;;;0;0;0;0
61.516.444/0001-79;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;0;0;0;0
61.530.579/0001-99;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;405.59;0;;;;;;;405.59;0;;;-39000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5840.1;0;-44840.1;0;-44434.51;0;0;0;;;0;0;0;0
61.839.325/0001-57;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;25060.29;;;;;;;;25060.29;0;25060.29;0;10529.1;;;;;;;;10529.1;0;;;-1500;-1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3920.99;-3920.99;-5420.99;-5120.99;30168.4;-5120.99;-5120.99;0;;;0;0;0;0
62.364.712/0001-47;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;0;0;0;492371.16;5428832.94;;;;;;;492371.16;5428832.94;492371.16;5428832.94;1150176.73;;;;;;;;1150176.73;0;;;-561020.7;-63580.77;;;;;;;;;-57601.52;-57601.52;;;;;-119056.74;;;;;;;;;;;;;;478617.47;-12923.67;-259061.49;-134105.96;1383486.4;5294726.98;5294726.98;5029990.631;;;5029990.631;0;5029990.631;0.95
62.385.601/0001-17;2026-03-31;1;;;;;;;;;0;0;5596466.99;5520889.84;;;;;;;;;131592.78;131521.36;5728059.77;5652411.2;;;;;;;;;0;0;5728059.77;5652411.2;84962.97;84962.97;;;;;;;84962.97;84962.97;;;-203755.29;-209044.56;;;-3000;-3000;;;;;;;;;;;-42173.23;-42173.23;;;-23029.45;-23029.45;;;;;;;-2448.88;-2448.88;-1578.89;30492.79;-275985.74;-249203.33;5537037;5488170.84;5488170.84;5213762.298;;;5213762.298;0;5213762.298;0.95
62.429.810/0001-15;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;10333.15;2823513.11;;;;;;;10333.15;2823513.11;10333.15;2823513.11;19109.66;19109.66;;;;;;;19109.66;19109.66;;;-37304.42;-45802.85;;;;;;;;;-16500;-16500;;;;;;;;;;;;;;;;;;;-4797.83;-4797.83;-58602.25;-67100.68;-29159.44;2775522.09;2775522.09;2636745.9855;;;2636745.9855;-2764552.02;-127806.0345;0.95
62.547.973/0001-00;2026-01-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;0;;0;0
62.959.750/0001-42;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;78803.18;;;;;;;;78803.18;0;78803.18;0;;;;;;;;;0;0;;;-219356.88;-276107.24;;;;;;;;;;;;;;;-36000;-36000;;;-12125.43;-12125.43;;;;;;;;;-23878.09;-8408.55;-291360.4;-332641.22;-212557.22;-332641.22;-332641.22;0;;0;0;0;0;0
63.134.454/0001-75;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;0;0;0;3497554.22;15750001.15;;;;;;;3497554.22;15750001.15;3497554.22;15750001.15;339378.92;339378.92;;;;;;;339378.92;339378.92;;;-54711.56;-14636.18;;;;;;;;;-5304.72;-5304.72;;;;;;;;;;;;;;;;;;;-5207.68;-6563.18;-65223.96;-26504.08;3771709.18;16062875.99;16062875.99;15259732.1905;;;15259732.1905;-16050000.88;-790268.6895;0.95
63.249.022/0001-00;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;0;0;0;;;;;;;;;0;0;0;0;306296.71;;;;;;;;306296.71;0;;;-128811.17;;;;;;;;;;;;;;;;;;;;-283613.27;-283613.27;;;;;;;;;-5246.24;-5246.24;-417670.68;-288859.51;-111373.97;-288859.51;-288859.51;0;;;0;0;0;0
63.320.393/0001-30;2026-03-31;1;;;;;;;;;0;0;;;-68015.48;-68015.48;;;;;;;;0;-68015.48;-68015.48;;;;;;;;;0;0;-68015.48;-68015.48;51027.77;51027.77;;;;;;;51027.77;51027.77;;;-122629.64;-99138.5;;;;;;;;;;;;;;;-990.24;-990.24;;;-163105.74;-163105.74;;;-65015.48;-65015.48;;;;;-1658205.49;-1626519.81;-2009946.59;-1954769.77;-2026934.3;-1971757.48;-1971757.48;0;;;0;0;0;0
63.574.240/0001-10;2026-03-31;1;;;;;;;;;0;0;2773309.75;2064999.56;-90610.18;-90610.18;;;;;;;-492380.2;-475345.6;2190319.37;1499043.78;;;;;;;;;0;0;2190319.37;1499043.78;257970.2;;;;;;;;257970.2;0;;;-62889.95;-489363.63;;;-204630.73;-172296.92;;;;;;;;;;;-1200;-1200;;;-24792.36;-24792.36;;;;;;;;;-106902.67;-103069.89;-400415.71;-790722.8;2047873.86;708320.98;708320.98;672904.931;;;672904.931;-501308.65;171596.281;0.95
64.089.566/0001-14;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;0;0;0;;;;;;;870998.38;870998.38;870998.38;870998.38;870998.38;870998.38;27111.27;27111.27;;;;;;;27111.27;27111.27;;;-69401.82;-54611.47;;;;;;;;;;;;;;;;;;;-169650;-169650;;;;;;;;;-55539.53;-55539.53;-294591.35;-279801;603518.3;618308.65;618308.65;587393.2175;;;587393.2175;-293438.16;293955.0575;0.95
64.156.203/0001-54;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;0;0;0;;;;;;;;;0;0;0;0;4362.24;;;;;;;;4362.24;0;;;-47203.76;;;;;;;;;;-3000;;;;;;;;;;;;;;;;;;;;-4506.66;-4506.66;-54710.42;-4506.66;-50348.18;-4506.66;-4506.66;0;;;0;0;0;0
64.280.202/0001-17;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;12692.17;12692.17;;;;;;;12692.17;12692.17;;;-63790.76;-29783.89;;;-75555.55;;;;;;;;;;;;;;;;-83662.01;-83662.01;;;;;;;;;-18084.13;-18084.13;-241092.45;-131530.03;-228400.28;-118837.86;-118837.86;0;;;0;0;0;0
64.987.074/0001-46;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;0;0;0;545950.95;1176358.3;;;;;;;545950.95;1176358.3;545950.95;1176358.3;2735.21;2735.21;;;;;;;2735.21;2735.21;;;-12954.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4363.93;-4363.93;-17318.47;-4363.93;531367.69;1174729.58;1174729.58;1115993.101;;;1115993.101;-1129999.82;-14006.719;0.95
65.275.189/0001-70;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;0;0;0;-1080011.64;;;;;;;;-1080011.64;0;-1080011.64;0;;;;;;;;;0;0;;;-10181.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10181.81;0;-1090193.45;0;0;0;;;0;0;0;0
