CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108052;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;UBERLA_37162;Rua Wandelvart Faria Marques, 500 - Distrito Industrial - Uberlândia-MG 38402-338;48950;1;Matrícula 37.162;0;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_45348;AV. DOS AUTONOMISTAS, N 2400-2394;0;1;45348;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_45361;AV. DOS AUTONOMISTAS, N 2400-2394;0;1;45361;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;ITAPEVI_5190;Avenida Cezário de Abreu, 34 - Centro - Itapevi-SP - 06653-020;921.79;1;Matrícula 5.190;0;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para venda acabados;LOTE H-07;Alphaville Dom Pedro Zero - Qd. H, Lt 07 - Alphaville Dom Pedro - Campinas-SP - 13092-599;621.67;1;Matricula 147.043;;;;;;;;;;0
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_15194;AV. BUSSOCABA, 464;0;1;15194;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_45358;AV. DOS AUTONOMISTAS, N 2400-2394;0;1;45358;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108030;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_107983;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108062;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Green_133544;AV  BONNARD - Nº 980 - INFRA CABEAMENTO;0;1;133544;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108086;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_5537;AV. GETÚLIO VARGAS, S/ Nº;0;1;5537;0.005851;0;0;;;;;;;
