CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
00.332.266/0001-31;2026-03-31;1;Imóveis para renda acabados;Via Parque Shopping - 100%;Av. Ayrton Senna, 3000 - Barra da Tijuca, Rio de Janeiro - RJ;56484.83;188;-;0.103933;0.106526;0.97281199403743;;;;;;;
00.762.723/0001-28;2026-03-31;1;Imóveis para renda acabados;ITM;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45808.5;1;Imóvel Comercial;1;0;0;;;;;;;
00.868.235/0001-08;2026-03-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0;;;;;;;
00.868.235/0001-08;2026-03-31;1;Imóveis para renda acabados;Medcenter;Avenida Soledade, 569 - Porto Alegre/RS;10187.47;118;Duas torres de conjutos comerciais, mall e estacionamento;0.13;0;0.985376585300021;;;;;;;
01.201.140/0001-90;2026-03-31;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69812;286;Shopping Center;0.0150403942015699;0.0190623045975918;0.979404128519903;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 25;Rua da Carioca, centro, Rio de Janeiro;259.72;1;Empreendimento - CARIOCA;1;0;0.003758;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda em construção;PRUDENTE DE MORAIS, 589;Rua Prudente de Morais, 589 - Ipanema - RJ;0;0;Empreendimento - PRUDENTE DE MORAES 589;;;;;0;0;0;77535153.8681458;77535153.8681458;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CESBOM;Fazenda cachoeirinha, Bom Despacho, Minas Gerais;0;0;FACEB EDUCACAO LTDA;0;0;0.103884;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;1º DE MARÇO 19/LJ, PAV 1/PAV 2;Avenida Rio Branco nº45, centro, Rio de Janeiro;477.12;1;n/a;1;0;0.013888;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;ARETÊ - TORIBA SUL;Praia Rasa, Búzios - RJ;0;0;n/a;;;;;;;;;;0.044187
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 53;Rua da Carioca, centro, Rio de Janeiro;250;1;Empreendimento - CARIOCA;0;0;0.006336;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda em construção;POMPEU LOUREIRO, 110/112;Rua Siqueira Campos, 37 - Copacabana, Rio de Janeiro - RJ, 22031-071;0;0;Empreendimento - BE IN RIO PRAIA COBACABANA;;;;;0;0;0;147383037.074161;147383037.074161;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda em construção;SIQUEIRA CAMPOS, 37;Rua Siqueira Campos, 37 - Copacabana, Rio de Janeiro - RJ, 22031-071;0;0;Empreendimento - BE IN RIO PRAIA COBACABANA;;;;;0;0;0;147383037.074161;147383037.074161;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;DOM GERARDO ,46;Rua Dom Gerardo nº 46, centro, Rio de Janeiro;5123.8;13;n/a;0.0769230769230769;0;0.019163;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;TEÓFILO OTONI, 82;R. Teófilo Otoni, 82 - Centro, Rio de Janeiro - RJ, 20090-070;6194.4;26;Empreendimento - CARDEAL LEME;0.4286;0;0.042415;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 21;Rua da Carioca, centro, Rio de Janeiro;284.28;1;Empreendimento - CARIOCA;1;0;0.003758;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;PRESIDENTE ANTÔNIO CARLOS, 51;Avenida Presidente Antonio Carlos, 51, centro , Rio de Janeiro;560;1;n/a;1;0;0.009946;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 13;Rua da Carioca, centro, Rio de Janeiro;205.24;1;Empreendimento - CARIOCA;0;0;0.003094;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;HOTEL SÃO FRANCISCO;Fazenda cachoeirinha, Bom Despacho, Minas Gerais;0;0;FACEB EDUCACAO LTDA;0;0;0.008288;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;RIO BRANCO 45;Avenida Rio Branco nº45, centro, Rio de Janeiro;520.84;12;n/a;0;0;0.008251;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;VISION WORK AND LIVE;Bloco "F", do conjunto "A", do Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;0;0;n/a;;;;;;;;;;0.000745
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 15;Rua da Carioca, centro, Rio de Janeiro;315.6;1;Empreendimento - CARIOCA;1;0;0.003131;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;RUA DO MATOSO - INNOVITÁ;Rua do Matoso, 104, Praça da Bandeira, Rio de Janeiro / RJ;400.23;3;Empreendimento - INNOVITA;0.3333;0;0.000921;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;RUA DO MATOSO - INNOVITÁ;Rua do Matoso, 104, Praça da Bandeira, Rio de Janeiro / RJ;0;0;Empreendimento - INNOVITA;;;;;;;;;;0.031596
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 11;Rua da Carioca, centro, Rio de Janeiro;5414.03;1;Empreendimento - CARIOCA;0;0;0.003058;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;RUA DO CARMO 55;Rua do Carmo, 55 - Centro, Rio de Janeiro - RJ, 20011-020;0;0;n/a;0;0;0.002772;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;AV. MARECHAL CAMARA, 160;Avenida Marechal Camara nº160, centro, Rio de Janeiro;840;1;n/a;1;0;0.010867;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;URUGUAIANA, 78;Rua Uruguaiana nº 78, centro, Rio de Janeiro;645.79;1;n/a;0;0;0.013262;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;TOUCH OFFICES;Rua Jardim Botânico, nº 568, conjunto 301, Jardim Botânico, Rio de Janeiro/RJ;627.49;1;Empreendimento - TOUCH;0.6923;0;0.012525;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;SOROCABA 420, 422 E 436;Rua Uruguai, n° 330 - Tijuca - Rio de Janeiro;0;0;n/a;;;;;;;;;;0.221179
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;ARETE - MIRÁ CENTER (INSTITUTO DOMINUS);Avenida José Bento Ribeiro Dantas, 01 - Quadra 17 - Lot. Praia Baia Formosa, Búzios - RJ;1557.25;1;Empreendimento - ARETE;1;0;0.048994;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;SETE DE SETEMBRO 155;Travessa do Ouvidor nº9, centro, Rio de Janeiro;283;1;n/a;0;0;0.005157;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda em construção;HOMEM DE MELO - TIJUCA;Rua José Higino n° 416 - Tijuca, RJ;0;0;Empreendimento - TIÊ RESIDENCIAL;;;;;0;0.7083;0.9542;291148283.114454;291148283.114454;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 19;Rua da Carioca, centro, Rio de Janeiro;216.24;1;Empreendimento - CARIOCA;1;0;0.003721;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;COLÉGIO SÃO JOSÉ;R. Geraldo Martins, 166 - Icaraí, Niterói - RJ, 24220-381;2420;1;Empreendimento - SÃO JOSE;1;0;0.020629;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;ALL - NUTA JAMES;Avenida Nuta James, 185 - Barra da Tijuca, Rio de Janeiro - RJ;0;0;Empreendimento - ALL JARDIM OCEÂNICO;;;;;;;;;;0.09747
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;DOM GERARDO 40/42;Rua Dom Gerardo nº 40 e 42, centro, Rio de Janeiro;0;8;n/a;0;0;0.033147;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 27;Rua da Carioca, centro, Rio de Janeiro;325.86;1;Empreendimento - CARIOCA;1;0;0.006189;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda em construção;BARAO DA TORRE, 662;Rua Barão da Torre, 662 - Ipanema - Rio de Janeiro - RJ;0;0;Empreendimento - BARÃO DA TORRE;;;;;0;0.2758;0.2792;43052903.0597614;43052903.0597614;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;URUGUAIANA, 76;Rua Uruguaiana nº 76, centro, Rio de Janeiro;282.11;1;n/a;0;0;0.005673;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;FERNANDES GUIMARAES 75, 79, 81;Rua Uruguai, n° 330 - Tijuca - Rio de Janeiro;0;0;n/a;;;;;;;;;;0.051361
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;ARETÊ - TORIBA NORTE;Avenida Jose Bento Ribeiro Dantas, s/n, Marina, Armação dos Búzios - RJ;0;0;n/a;;;;;;;;;;0.020718
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CONDE DE BONFIM, 149;Rua Conde de Bonfim nº149, centro, Rio de Janeiro;638.64;1;n/a;0;0;0.012119;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;ARETÊ - TORIBA LESTE (SUL A/B/C);Praia Rasa, Búzios - RJ;0;0;n/a;;;;;;;;;;0.179376
01.235.622/0001-61;2026-03-31;1;Imóveis para venda em construção;RUA TONELERO, 61;Rua Tonelero, 61 - Copacabana - RJ;0;0;Empreendimento - TONELERO;;;;;0;0.4857;0.5798;47410221.3791499;47410221.3791499;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;DUE CAPRI;Bloco C, Superquadra Noroeste 307 - Brasilia/DF;0;0;n/a;;;;;;;;;;0.010872
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;ARETÊ - TORIBA (HOTEL);Alameda Andorinhas - Lot. Praia Baia Formosa, Búzios - RJ;2898.9;5;Empreendimento - ARETE - HOTEL MARINA;1;0;0.041258;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda em construção;PISCINA DE ONDAS;"Baia Formosa", em zona urbana do Município de Armação dos Búzios/RJ;0;0;n/a;;;;0;;0.498;0.5958;0;0;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;TRAVESSA DO OUVIDOR, 9;Travessa do Ouvidor nº9, centro, Rio de Janeiro;798.8;1;n/a;0.5;0;0.013262;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;ASSUNÇÃO - BOTAFOGO;Rua Assunção, 260 - Botafogo - RJ;80.2;1;Empreendimanto - BLANC 260;;;;;;;;;;0.010994
01.235.622/0001-61;2026-03-31;1;Imóveis para venda em construção;GREEN PARK BARRA (Lt. 1 Fases - 1 e 2);Avenida das Américas, 1300 - Barra da Tijuca - Rio de Janeiro, RJ;0;0;Empreendimento - GREEN VIEW;;;;;0;0.0234;0.0233;570400316.8505;570400316.8505;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CITTA OFFICE;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;1898.73;1;Empreendimento - CITTA OFFICE;1;0;0.048074;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CITTA AMERICA;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;26573.39;13;Empreendimento - CITTA AMERICA;0.4615;0;0.696496;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;RAINHA GUILHERMINA - LEBLON;Rainha Guilhermina, 75 , Leblon;1050.81;0;N/A;0;0;0.076255;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;ELEVA BRASÍLIA;Quadra 613/614, do SGA/Sul, no Município de Brasília - DF;8914.09;1;N/A;1;0;0.333754;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda em construção;NASCIMENTO SILVA 387 E REDENTOR 150;Rua Nascimento Silva, nº 387, Ipanema, Rio de Janeiro/RJ - R. Redentor, 150 - Ipanema, Rio de Janeiro - RJ, 22421-030;0;0;Empreendimento - NASCIMENTO SILVA 387;;;;;0;0;0;68997974.3999021;68997974.3999021;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;ITUMBIARA;Avenida Santos Dumont, 979, Setor Oeste, Itumbiara - GO;4900;1;Empreendimento - ITUMBIARA;1;0;0.060046;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 17;Rua da Carioca, centro, Rio de Janeiro;216.24;1;Empreendimento - CARIOCA;1;0;0.003131;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;HUB - MARRECAS 11 E 13;Rua das Marrecas, n° 11 e 13 - Centro - Rio de Janeiro - RJ;262;1;Empreendimento - HUB CO-LIVING;;;;;;;;;;0.010815
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;ARETÊ - TORIBA LESTE (NORTE A/B);Praia Rasa, Búzios - RJ;0;0;n/a;;;;;;;;;;0.021272
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CASTELINHO - GLORIA;Rua do Russel, 734 - Glória, Rio de Janeiro - RJ, 22210-010;0;0;N/A;0;0;0.006446;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 33;Rua da Carioca, centro, Rio de Janeiro;250;1;Empreendimento - CARIOCA;1;0;0.007662;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;COSTA NOVA - ÁREA 09 (COSTA MARE);Rodovia Darly Santos, 134 - Jockey de Itaparica, Vila Velha - ES;0;0;Empreendimento - COSTA MARE RESIDENCE CLUB;;;;;;;;;;0.189308
01.235.622/0001-61;2026-03-31;1;Imóveis para venda em construção;HOTEL GLORIA;Rua do Russel, no 632, Glória, Rio de Janeiro - RJ;0;0;Empreendimento - GLÓRIA RESIDENCIAL;;;;;0;0.8839;1;489040072.013257;489040072.013257;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;HOTEL & BUREAL;Setor Hoteleiro Norte, Quadra 01, Área Especial A, Brasília - DF;0;0;n/a;;;;;;;;;;7.9E-05
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 31;Rua da Carioca, centro, Rio de Janeiro;250;1;Empreendimento - CARIOCA;1;0;0.007073;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;SÃO PEDRO DA ALDEIA - ROD. AMARAL PEIXOTO;Rodovia Amaral Peixoto, Km 107, Quadra 20, Lote 9, S/n - Balneario São Pedro, São Pedro da Aldeia;3581.88;1;N/A;1;0;0.033154;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;ÍCONO PARQUE - FLAMENGO;R. Machado de Assis, 40 - Flamengo, Rio de Janeiro - RJ, 22220-060;2082.62;24;Empreendimento - ICONO PARQUE MALL;0.8333;0;0.090622;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda em construção;MARIA QUITERIA 46 E PRUDENTE DE MORAIS 1050;Rua Maria Quitéria, 46 - Rua Prudente de Morais, 1050 - Ipanema, Rio de Janeiro - RJ,;0;0;Empreendimento - BELAVISTA IPANEMA;;;;;0;0.1129;0.1218;162554668.657258;162554668.657258;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 29;Rua da Carioca, centro, Rio de Janeiro;250;1;Empreendimento - CARIOCA;1;0;0.008546;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;ITABIRA;Avenida Jardim de Grisolia, Centro, Itabira-MG, 35900-001;8312;1;Empreendimento - ED. CENTER SHOPPING;1;0;0.109041;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 23;Rua da Carioca, centro, Rio de Janeiro;259.72;1;Empreendimento - CARIOCA;1;0;0.003279;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;LINEU DE PAULA MACHADO;Avenida Lineu de Paula Machado, 696/708 - Lagoa, RJ;0;0;Empreendimento - LINEU 708;;;;;;;;;;0.110029
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;RUA BUENOS AIRES, 48;Rua Buenos Aires nº48, centro, Rio de Janeiro;2723;7;Empreendimento - GOLDEN CORPORATE;0.5714;0;0.054594;;;;;;;
01.497.954/0001-14;2026-03-31;1;Imóveis para renda acabados;Centro Comercial e Empresarial Mostardeiro;Avenida Mostardeiro, 322 - Moinhos de Vento - Porto Alegre/RS;4237.05;99;5 lojas, 12 conjuntos comerciais e 82 vagas de estacionamento.;0;0;0;;;;;;;
01.497.954/0001-14;2026-03-31;1;Imóveis para renda acabados;Prédio Comercial;Rua Dom Pedro II, 1129 - Três Figueiras, Porto Alegre/RS;330;1;Prédio comercial.;0;0;0;;;;;;;
01.497.954/0001-14;2026-03-31;1;Imóveis para renda acabados;Centro Empresarial Rio Guahyba;Avenida Júlio de Castilhos, 124/132 e Mauá, 1587 - Centro, Porto Alegre/RS;7687.99;139;1 loja, 22 conjuntos comerciais e 116 vagas de estacionamento.;0;0;0;;;;;;;
01.497.954/0001-14;2026-03-31;1;Imóveis para renda acabados;Edifício Maipú;Rua Voluntários da Pátria, 46 - Centro, Porto Alegre/RS;1190.36;27;27 conjuntos comerciais.;0;0;0;;;;;;;
01.497.954/0001-14;2026-03-31;1;Imóveis para renda acabados;EdifícioMartim Fierro;Avenida Carlos Gomes, 651 - Bela Vista, Porto Alegre/RS;3135.63;66;1 loja, 14 conjuntos comerciais e 51 vagas de estacionamento.;0;0;0;;;;;;;
01.497.954/0001-14;2026-03-31;1;Imóveis para renda acabados;Edifício Piratini;Praça Montivideo, 11 e 19 - Centro - Porto Alegre/RS;496.32;3;3 lojas.;0;0;0;;;;;;;
01.497.954/0001-14;2026-03-31;1;Imóveis para renda acabados;Centro Empresarial Presidente Kennedy;Avenida Carlos Gomes, 111 - Bela Vista, Porto Alegre/RS;7223.15;289;48 conjuntos comerciais e 241 vagas de estacionamento.;0;0;0;;;;;;;
01.601.918/0001-59;2026-03-31;1;Imóveis para renda acabados;Dantas Barreto;Av Dantas Barreto 507 - Recife - PE;619.78;1;NA;1;0;0;;;;;;;
01.601.918/0001-59;2026-03-31;1;Imóveis para renda acabados;Joaquim Floriano;R. Joaquim Floriano, 717- São Paulo - SP;737.83;1;NA;0;0;0;;;;;;;
01.636.325/0001-28;2026-03-31;1;Imóveis para renda acabados;Moinhos Shopping;Rua Olavo Barreto Viana nº 36;8595.4;89;Direito de propriedade;0.1825;-0.0015;0.799711;;;;;;;
01.636.325/0001-28;2026-03-31;1;Imóveis para renda acabados;Hotel Hilton Porto Alegre;Rua Olavo Barreto Viana, nº 18;16884.06;1;Direito de propriedade;0.25;0;0.170106;;;;;;;
01.657.856/0001-05;2026-03-31;1;Imóveis para renda acabados;Shopping Center Piedade;Rua Junqueira Ayres, 165 - Barris - Salvador - BA;4752.34;55;O Fundo é proprietário de lojas no Shopping Center Piedade, em Salvador-BA, correspondendo a 31,57% da area do shopping, não existindo quaisquer onus ou impedimentos sobre os referidos imóveis. Área indicada conforme composição dos epaços locáveis no trimestre;0.247453;0.240503;0.9893;;;;;;;
02.508.235/0001-14;2026-03-31;1;Imóveis para renda acabados;Contagem;Samambaia, Perobas e Campo Do Meio - Contagem -  MG;345305.93;1;N/A;0;0;0.988557;;;;;;;
03.251.720/0001-18;2026-03-31;1;Imóveis para renda acabados;Centro Empresarial Agua Branca - Torre New York;Avenida Francisco Matarazzo, 1500, Sem Complemento, Água Branca, São Paulo/SP, Brasil, 05001-100;17905.45;38;Direito de propriedade;0.14181755224681;0;0.14121942337151;;;;;;;
03.251.720/0001-18;2026-03-31;1;Imóveis para renda acabados;Centro Empresarial Agua Branca - Torre Los Angeles;Avenida Francisco Matarazzo, 1500, Sem Complemento, Água Branca, São Paulo/SP, Brasil, 05001-100;17905.45;38;Direito de propriedade;0.15018956308813;0;0.15385859820833;;;;;;;
03.507.519/0001-59;2026-03-31;1;Imóveis para renda acabados;Shopping Center;Rua Dr. Veiga Filho, 133, Higienópolis, São Paulo - SP;34504.45;329;O FII é proprietário de 25,6775% do Shopping Pátio Higienópolis.;0.011337;0.035705;0.97696;;;;;;;
03.683.056/0001-86;2026-03-31;1;Imóveis para renda acabados;CANDELÁRIA CORPORATE;Rua da Candelária nº 65, Centro, Rio de Janeiro/RJ;1296.76;2;Laje Corporativa;0;0;0.010718;;;;;;;
03.683.056/0001-86;2026-03-31;1;Imóveis para renda acabados;PARQUE SANTOS;Alameda Santos, 1163, Cerqueira César, São Paulo/SP;5135.15;11;Laje Corporativa;0;0;0.104226;;;;;;;
03.683.056/0001-86;2026-03-31;1;Imóveis para renda acabados;JATOBÁ;Rua Surubim, 373, Brooklin Novo, São Paulo/SP;1712.49;1;Laje Corporativa;0;0;0.029066;;;;;;;
03.683.056/0001-86;2026-03-31;1;Imóveis para renda acabados;EDIFÍCIO GIRASSOL;Rua Girassol, 555 - Vila Madalena;4263.94;1;Laje Corporativa;0;0;0.070009;;;;;;;
03.683.056/0001-86;2026-03-31;1;Imóveis para renda acabados;INTERNACIONAL RIO;Praia do Flamengo nº 154, Flamengo, Rio de Janeiro/RJ;1481.07;2;Laje Corporativa;0;0;0.021983;;;;;;;
03.683.056/0001-86;2026-03-31;1;Imóveis para renda acabados;JK FINANCIAL CENTER;Av. Juscelino Kubitschek, 510, Itaim Bibi, São Paulo/SP;10505.42;11;Laje Corporativa;0;0;0.337517;;;;;;;
03.683.056/0001-86;2026-03-31;1;Imóveis para renda acabados;CONTINENTAL SQUARE;Rua Olimpiadas. 205, São Paulo SP;8281.93;3;Laje Corporativa;0;0;0.208066;;;;;;;
03.683.056/0001-86;2026-03-31;1;Imóveis para renda acabados;PQ CULTURAL PAULISTA;Avenida Paulista, 37, São Paulo/SP;5033.52;5;Laje Corporativa;0;0;0.103467;;;;;;;
03.683.056/0001-86;2026-03-31;1;Imóveis para renda acabados;EDIFÍCIO BRAVO! PAULISTA;Alameda Santos, 1.800 - Jardins;5738.36;17;Laje Corporativa;0;0;0.097071;;;;;;;
04.066.582/0001-60;2026-03-31;2;Imóveis para renda acabados;Instituto de Espec Pediatricas de SP - Hospital da Crianca;Rua Das Perobas, 344, Sem Complemento, Vila Parque Jabaquara, São Paulo/SP, Brasil, 04321-120;5518.2;1;Direito de propriedade;0;0;1;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;460;1;cj. 22;0;0;0.053701;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;460;1;cjs. 51;0;0;0.029661;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;432.3;1;cjs. 53;0;0;0.027026;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;11398.8;135;75% DO HOTEL PULLMAN;0;0;0.321938;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;1784.6;4;cjs. 41, 42, 43 e 44;0;0;0.169925;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;460;1;cj. 31;0;0;0.031183;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;460;1;cj. 32;0;0;0.047233;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;432.3;1;cj. 33;0;0;0.028377;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;432.3;1;cj. 34;0.266666666666667;0;0.031688;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;395.6;1;cj. 13;0;0;0.023876;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;395.6;1;cj. 14;0;0;0.026401;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;411.13;1;cj. 12;0;0;0.026815;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;432.3;1;cj. 23;0;0;0.052836;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;432.3;1;cj. 24;0;0;0.052836;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;460;1;cj. 21;0;0;0.025118;;;;;;;
04.141.645/0001-03;2026-03-31;1;Imóveis para renda acabados;ED. CONTINENTAL SQUARE FARIA LIMA;RUA DAS OLIMPIADAS, 205;405.22;1;cj. 11;0;0;0.027043;;;;;;;
04.644.612/0001-78;2026-03-31;1;Imóveis para renda acabados;IMOVEL CESTO;RUA RIO DE JANEIRO,18-CENTRO -BELO HORIZONTE -MG;133.02;39;Hotel- 39 Unidades Hoteleiras, sendo 36 unidades Standard e 3 unidades master, localizadas em Belo Horizonte -MG;1;0;0;;;;;;;
04.644.612/0001-78;2026-03-31;1;Imóveis para renda acabados;IMOVEL CESTO_;RUA RIO DE JANEIRO,18-CENTRO -BELO HORIZONTE -MG;38.22;18;Hotel- 18 Unidades Hoteleiras;1;0;0;;;;;;;
04.722.883/0001-02;2026-03-31;1;Imóveis para renda acabados;Torre Norte - Centro Empresarial Nacoes Unidas - CENU;Avenida Das Nacoes Unidas, 12901, Sem Complemento, Brooklin Paulista, São Paulo/SP, Brasil, 04578-910;61854.81;388;Direito de propriedade;0.26265880164212;0;0.86096117937183;;;;;;;
