CNPJ_Fundo_Classe;Data_Referencia;Versao;Percentual_Vencimento_Valor_Total_Faixa_Ate_3Meses;Percentual_Vencimento_Receita_FII_Faixa_Ate_3Meses;Percentual_Vencimento_Valor_Total_Faixa_3a6Meses;Percentual_Vencimento_Receita_FII_Faixa_3a6Meses;Percentual_Vencimento_Valor_Total_Faixa_6a9Meses;Percentual_Vencimento_Receita_FII_Faixa_6a9Meses;Percentual_Vencimento_Valor_Total_Faixa_9a12Meses;Percentual_Vencimento_Receita_FII_Faixa_9a12Meses;Percentual_Vencimento_Valor_Total_Faixa_12a15Meses;Percentual_Vencimento_Receita_FII_Faixa_12a15Meses;Percentual_Vencimento_Valor_Total_Faixa_15a18Meses;Percentual_Vencimento_Receita_FII_Faixa_15a18Meses;Percentual_Vencimento_Valor_Total_Faixa_18a21Meses;Percentual_Vencimento_Receita_FII_Faixa_18a21Meses;Percentual_Vencimento_Valor_Total_Faixa_21a24Meses;Percentual_Vencimento_Receita_FII_Faixa_21a24Meses;Percentual_Vencimento_Valor_Total_Faixa_24a27Meses;Percentual_Vencimento_Receita_FII_Faixa_24a27Meses;Percentual_Vencimento_Valor_Total_Faixa_27a30Meses;Percentual_Vencimento_Receita_FII_Faixa_27a30Meses;Percentual_Vencimento_Valor_Total_Faixa_30a33Meses;Percentual_Vencimento_Receita_FII_Faixa_30a33Meses;Percentual_Vencimento_Valor_Total_Faixa_33a36Meses;Percentual_Vencimento_Receita_FII_Faixa_33a36Meses;Percentual_Vencimento_Valor_Total_Faixa_Acima_36Meses;Percentual_Vencimento_Receita_FII_Faixa_Acima_36Meses;Percentual_Vencimento_Valor_Total_Faixa_Indeterminado;Percentual_Vencimento_Receita_FII_Faixa_Indeterminado;Percentual_Indexador_Valor_Total_IGPM;Percentual_Indexador_Receita_FII_IGPM;Percentual_Indexador_Valor_Total_INPC;Percentual_Indexador_Receita_FII_INPC;Percentual_Indexador_Valor_Total_IPCA;Percentual_Indexador_Receita_FII_IPCA;Percentual_Indexador_Valor_Total_INCC;Percentual_Indexador_Receita_FII_INCC;Caracteristicas_Contratuais;Politica_Contratacao_Seguro_Imovel_Renda_Acabado;Politica_Contratacao_Seguro_Imovel_Renda_Construcao;Politica_Contratacao_Seguro_Imovel_Venda_Acabado;Politica_Contratacao_Seguro_Imovel_Venda_Construcao;Ativo_Liquidez_Valor_Disponibilidades;Ativo_Liquidez_Valor_Titulos_Publicos;Ativo_Liquidez_Valor_Titulos_Privados;Ativo_Liquidez_Valor_Fundos_Renda_Fixa
62.572.251/0001-06;2026-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
62.572.251/0001-06;2026-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
62.572.288/0001-26;2026-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
62.572.288/0001-26;2026-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
62.603.652/0001-78;2026-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;86670234.79
62.603.652/0001-78;2026-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;75650290.19
62.662.477/0001-90;2026-03-31;1;;;;;1;0.912568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Os contratos têm duração máxima de 1 ano, por isso não sofrem reajustes durante o prazo de duração. Caso o inquilino tenha interesse em renovar, deve avisar com antecedência (30 dias) e estará sujeito à nova tabela vigente no momento da negociação, o mesmo ocorre no caso de rescisão antecipada, caso contrário terá multa de 1 mensalidade, não são exigidas garantias no momento da assinatura (mas todos os responsáveis financeiros passam por avaliação criteriosa de crédito). O modelo é 'pague e more', isto é, se o inquilino atrasar a mensalidade, entra em débito e paga multa sobre o aluguel atrasado, podendo perder acesso ao apartamento e ter seu nome enviado ao serasa.Como regra geral, qualquer infração às cláusulas do contrato geram a cobrança de 1 aluguel, além de qualquer custo eventual que a infração incorra.;Seguros contratados pelo operador e pagos pelo proprietário conforme caracteristicas de cada imóvel.;;Os seguros são contratados de acordo com as caracteristicas de cada imóvel.;;4972.76;;;2743159.99
62.662.477/0001-90;2026-06-30;1;;;;;1;0.326991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Os contratos têm duração máxima de 1 ano, por isso não sofrem reajustes durante o prazo de duração. Caso o inquilino tenha interesse em renovar, deve avisar com antecedência (30 dias) e estará sujeito à nova tabela vigente no momento da negociação, o mesmo ocorre no caso de rescisão antecipada, caso contrário terá multa de 1 mensalidade, não são exigidas garantias no momento da assinatura (mas todos os responsáveis financeiros passam por avaliação criteriosa de crédito). O modelo é 'pague e more', isto é, se o inquilino atrasar a mensalidade, entra em débito e paga multa sobre o aluguel atrasado, podendo perder acesso ao apartamento e ter seu nome enviado ao serasa.Como regra geral, qualquer infração às cláusulas do contrato geram a cobrança de 1 aluguel, além de qualquer custo eventual que a infração incorra.;Seguros contratados pelo operador e pagos pelo proprietário conforme caracteristicas de cada imóvel.;;Os seguros são contratados de acordo com as caracteristicas de cada imóvel.;;5392.27;;;2513941.13
62.683.216/0001-56;2026-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;107788953.43
62.683.216/0001-56;2026-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;90277587.8
62.731.360/0001-10;2026-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1. Diretriz GeralToda obra vinculada a imóveis desta categoria deverá possuir seguros suficientes para garantir a execução, a integridade do ativo, a proteção de terceiros e a cobertura de riscos durante e após a conclusão da obra.2. Seguro Garantia de Execução (Performance Bond)É obrigatória a contratação de performance bond com cobertura mínima de 15% do valor do contrato, assegurando a continuidade das obras em caso de paralisação, rescisão ou inadimplemento.A apólice deverá prever a conclusão da obra por terceiro aprovado pelo contratante ou o pagamento da indenização correspondente.3. Seguro de Riscos de Engenharia (CAR/EAR)Deverá ser apresentado em até 30 dias da assinatura do contrato, com cobertura all risks para a execução das obras, incluindo danos à obra, a terceiros e a propriedades circunvizinhas.O contratante deverá constar como beneficiário e/ou cossegurado.4. Seguro de Responsabilidade Civil GeralDeverá ser contratado em até 30 dias da assinatura do contrato, cobrindo danos materiais, pessoais, morais, patrimoniais e ambientais causados a terceiros em decorrência da execução das obras.O contratante deverá figurar como beneficiário e/ou cossegurado.5. Seguro de Garantia Pós-ObraÉ obrigatória a contratação de seguro de garantia técnica da obra, com vigência mínima de 5 anos a partir do Recebimento Definitivo, cobrindo vícios construtivos, falhas estruturais e defeitos de execução ou instalação.6. Condição para ExecuçãoA apresentação e validação das apólices pelo contratante constituem condição obrigatória para o início e manutenção das obras.;;;0;106183528.32;0;7607075.71
62.731.360/0001-10;2026-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1. Diretriz GeralToda obra vinculada a imóveis desta categoria deverá possuir seguros suficientes para garantir a execução, a integridade do ativo, a proteção de terceiros e a cobertura de riscos durante e após a conclusão da obra.2. Seguro Garantia de Execução (Performance Bond)É obrigatória a contratação de performance bond com cobertura mínima de 15% do valor do contrato, assegurando a continuidade das obras em caso de paralisação, rescisão ou inadimplemento.A apólice deverá prever a conclusão da obra por terceiro aprovado pelo contratante ou o pagamento da indenização correspondente.3. Seguro de Riscos de Engenharia (CAR/EAR)Deverá ser apresentado em até 30 dias da assinatura do contrato, com cobertura all risks para a execução das obras, incluindo danos à obra, a terceiros e a propriedades circunvizinhas.O contratante deverá constar como beneficiário e/ou cossegurado.4. Seguro de Responsabilidade Civil GeralDeverá ser contratado em até 30 dias da assinatura do contrato, cobrindo danos materiais, pessoais, morais, patrimoniais e ambientais causados a terceiros em decorrência da execução das obras.O contratante deverá figurar como beneficiário e/ou cossegurado.5. Seguro de Garantia Pós-ObraÉ obrigatória a contratação de seguro de garantia técnica da obra, com vigência mínima de 5 anos a partir do Recebimento Definitivo, cobrindo vícios construtivos, falhas estruturais e defeitos de execução ou instalação.6. Condição para ExecuçãoA apresentação e validação das apólices pelo contratante constituem condição obrigatória para o início e manutenção das obras.;;;0;109699840.36;0;5920866.95
