CNPJ_Fundo_Classe;Data_Referencia;Versao;Tipo;Emissor;CNPJ_Emissor;Emissao;Serie;Codigo_Acao;Nome_Ativo;Data_Vencimento;Quantidade;Valor
00.332.266/0001-31;2024-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;84419.06;5598687.14
00.332.266/0001-31;2024-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;2550.03;169118.93
00.332.266/0001-31;2024-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;1055.79;71778.6
00.332.266/0001-31;2024-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;116159.8;7897207.41
00.332.266/0001-31;2024-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;95858.96;6687722.3
00.332.266/0001-31;2024-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;324.36;22629.45
00.332.266/0001-31;2024-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;4474.95;320398.61
00.332.266/0001-31;2024-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;65113.45;4662007.65
00.762.723/0001-28;2024-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;62687.57;4157450.51
00.762.723/0001-28;2024-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;29999.63;2039546.2
00.762.723/0001-28;2024-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;68873.67;4805059.17
00.762.723/0001-28;2024-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;1113.16;79700.37
00.868.235/0001-08;2024-03-31;1;Outras Cotas de FI;Itaú Soberano RF DI LP FI;6175696000173;;;;;;27934.89;2554565.42
00.868.235/0001-08;2024-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;35518.67;187298.63
00.868.235/0001-08;2024-06-30;1;Outras Cotas de FI;Itaú Top RF Referenciado DI FICFI;5902521000158;;;;;;62932.60262;433354.74
00.868.235/0001-08;2024-06-30;1;Outras Cotas de FI;Bradesco FIC FI RF Referenciado DI;32312124000107;;;;;;1228251.60847;1822812.83
00.868.235/0001-08;2024-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples FICFI;6175696000173;;;;;;5441.61852;369952.34
00.868.235/0001-08;2024-09-30;1;Outras Cotas de FI;Itaú Top RF Referenciado DI FICFI;5902521000158;;;;;;5128.62382;36301.67
00.868.235/0001-08;2024-09-30;1;Outras Cotas de FI;Bradesco FIC FI RF Referenciado DI;32312124000107;;;;;;1929109.75318;2943243.71
00.868.235/0001-08;2024-12-31;1;Outras Cotas de FI;Bradesco FIC FI RF Referenciado DI;32312124000107;;;;;;1551297.74597;2428685.99
00.868.235/0001-08;2024-12-31;1;Outras Cotas de FI;Itaú Top RF Referenciado DI FICFI;5902521000158;;;;;;1386.21653;10065.48
01.201.140/0001-90;2024-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;113894.98;7553535.47
01.201.140/0001-90;2024-06-30;2;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;93934.33226;6386193.18
01.201.140/0001-90;2024-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;153137.14831;10683807.75
01.201.140/0001-90;2024-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;153137.14831;6554698.93
01.235.622/0001-61;2024-03-28;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;2934;2716021.53
01.235.622/0001-61;2024-03-28;1;CRI/CRA;RB CAPITAL SA - CRI_18L1368412;2773542000122;1;200;;;;461;44895046.07
01.235.622/0001-61;2024-03-28;1;Outras Cotas de FI;CAIXA FIC PLENO RF REF DI LP;10740508000180;;;;;;46162.8733;128146.2
01.235.622/0001-61;2024-03-28;1;FII;BRIX FII- SÊNIOR;35360651000177;;;;;;15066.05;23808194.72
01.235.622/0001-61;2024-03-28;1;Ações de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1368055.09
01.235.622/0001-61;2024-03-28;1;Outras Cotas de FI;OPPORTUNITY LEBLON FI RF REFERENCIADO DI;10309574000108;;;;;;7528268.5747;30203668.96
01.235.622/0001-61;2024-03-28;1;Ações de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;63183174;10979219.88
01.235.622/0001-61;2024-03-28;1;Ações de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912.58;76281577.8
01.235.622/0001-61;2024-03-28;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;2189;2026370.53
01.235.622/0001-61;2024-03-28;1;Outras Cotas de FI;CAIXA FACIL RENDA FIXA SIMPLES FIC FI;5114716000133;;;;;;0;0.02
01.235.622/0001-61;2024-03-28;1;FII;BRIX FII;35360651000177;;;;;;10141.83;10141.92
01.235.622/0001-61;2024-03-28;1;CRI/CRA;RB CAPITAL SA - CRI_18L1368427;2773542000122;1;201;;;;34;3008083.74
01.235.622/0001-61;2024-03-28;1;FII;FII DOVEL;10522648000181;;;;;;51145.01;41695936.43
01.235.622/0001-61;2024-03-28;1;Ações de Sociedades;Taquari - Brasília;1235622000161;;;;;;82945;121788553.43
01.235.622/0001-61;2024-03-28;1;CRI/CRA;RB CAPITAL SA - CRI_18L1368427;2773542000122;1;201;;;;1;136304173.55
01.235.622/0001-61;2024-03-28;1;FII;OPPORTUNITY BALASSIANO FII- C;42273290000197;;;;;;12075;12075.02
01.235.622/0001-61;2024-03-28;1;FII;OPPORTUNITY BALASSIANO FII- B;42273290000197;;;;;;116040;146812665.35
01.235.622/0001-61;2024-03-28;1;Ações de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;284601252;299299.17
01.235.622/0001-61;2024-03-28;1;Outras Cotas de FI;FICFI ITAU SOBERANO RENDA FIXA SIMPLES LP;6175696000173;;;;;;636240.2736;42150295.51
01.235.622/0001-61;2024-03-28;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;533;493401.32
01.235.622/0001-61;2024-03-28;1;FII;BRIX FII- MEZANINO;35360651000177;;;;;;65832.28;78928530.59
