CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
47.154.849/0001-83;2025-03-31;1;GA_1206C;Av. Farroupilha, 5508;2025-03-05;123.2;1;Nenhuma característica relevante;0.004223;0.00235
47.154.849/0001-83;2025-03-31;1;GA_558BV;Av. Farroupilha, 5508;2025-03-05;29.6;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_304A;R. Aurora, 1250;2025-01-10;96.7;1;Nenhuma característica relevante;0.003125;0.001739
47.154.849/0001-83;2025-03-31;1;GR_305A;R. Aurora, 1250;2025-01-30;96.7;1;Nenhuma característica relevante;0.003355;0.001867
47.154.849/0001-83;2025-03-31;1;GR_505A;R. Aurora, 1250;2025-01-13;96.7;1;Nenhuma característica relevante;0.003587;0.001996
47.154.849/0001-83;2025-03-31;1;GR_507A;R. Aurora, 1250;2025-01-07;121.8;1;Nenhuma característica relevante;0.004223;0.00235
47.154.849/0001-83;2025-03-31;1;GR_602B;R. Aurora, 1250;2025-03-21;121.8;1;Nenhuma característica relevante;0.004339;0.002414
47.154.849/0001-83;2025-03-31;1;GR_1104B;R. Aurora, 1250;2025-03-21;96.7;1;Nenhuma característica relevante;0.003555;0.001978
47.154.849/0001-83;2025-03-31;1;GR_304B;R. Aurora, 1250;2025-03-21;96.7;1;Nenhuma característica relevante;0.003125;0.001739
47.154.849/0001-83;2025-03-31;1;GR_1304B;R. Aurora, 1250;2025-02-05;96.7;1;Nenhuma característica relevante;0.003529;0.001963
47.154.849/0001-83;2025-03-31;1;GR_307B;R. Aurora, 1250;2025-01-20;121.8;1;Nenhuma característica relevante;0.004073;0.002266
47.154.849/0001-83;2025-03-31;1;GR_211C;R. Aurora, 1250;2025-02-18;121.8;1;Nenhuma característica relevante;0.004223;0.00235
47.154.849/0001-83;2025-03-31;1;GR_212C;R. Aurora, 1250;2025-01-09;96.7;1;Nenhuma característica relevante;0.003471;0.001931
47.154.849/0001-83;2025-03-31;1;GR_203C;R. Aurora, 1250;2025-02-12;121.8;1;Nenhuma característica relevante;0.004513;0.002511
47.154.849/0001-83;2025-03-31;1;GR_409C;R. Aurora, 1250;2025-03-27;96.7;1;Nenhuma característica relevante;0.003298;0.001835
47.154.849/0001-83;2025-03-31;1;GR_201D;R. Aurora, 1250;2025-01-10;96.7;1;Nenhuma característica relevante;0.003483;0.001938
47.154.849/0001-83;2025-03-31;1;GR_212D;R. Aurora, 1250;2025-02-28;96.7;1;Nenhuma característica relevante;0.003483;0.001938
47.154.849/0001-83;2025-03-31;1;GR_303D;R. Aurora, 1250;2025-03-27;121.8;1;Nenhuma característica relevante;0.004339;0.002414
47.154.849/0001-83;2025-03-31;1;GR_703D;R. Aurora, 1250;2025-02-28;121.8;1;Nenhuma característica relevante;0.004352;0.002421
47.154.849/0001-83;2025-03-31;1;GR_507D;R. Aurora, 1250;2025-03-21;121.8;1;Nenhuma característica relevante;0.004513;0.002511
47.154.849/0001-83;2025-03-31;1;GR_208D;R. Aurora, 1250;2025-03-24;96.7;1;Nenhuma característica relevante;0.003274;0.001822
47.154.849/0001-83;2025-03-31;1;GR_808D;R. Aurora, 1250;2025-02-04;96.7;1;Nenhuma característica relevante;0.003379;0.00188
47.154.849/0001-83;2025-03-31;1;GR_709D;R. Aurora, 1250;2025-02-04;96.7;1;Nenhuma característica relevante;0.00324;0.001802
47.154.849/0001-83;2025-03-31;1;GR_02AV;R. Aurora, 1250;2025-01-30;17.2;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_19AV;R. Aurora, 1250;2025-03-27;22.3;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_21AV;R. Aurora, 1250;2025-01-09;18.2;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_32AV;R. Aurora, 1250;2025-01-13;18.2;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_55AV;R. Aurora, 1250;2025-01-10;18.2;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_60AV;R. Aurora, 1250;2025-02-05;18.2;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_91AV;R. Aurora, 1250;2025-02-04;22.3;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_93AV;R. Aurora, 1250;2025-02-04;17.2;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_96AV;R. Aurora, 1250;2025-03-21;17.2;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_498AV;R. Aurora, 1250;2025-03-27;27.5;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_598AV;R. Aurora, 1250;2025-02-12;27.5;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_425AV;R. Aurora, 1250;2025-02-28;27.5;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_382AV;R. Aurora, 1250;2025-03-13;27.5;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_369AV;R. Aurora, 1250;2025-02-18;27.5;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_302AV;R. Aurora, 1250;2025-01-20;27.5;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_280AV;R. Aurora, 1250;2025-03-21;27.5;1;Nenhuma característica relevante;0.000405;0.000225
