CNPJ_Fundo_Classe;Data_Referencia;Versao;Percentual_Vencimento_Valor_Total_Faixa_Ate_3Meses;Percentual_Vencimento_Receita_FII_Faixa_Ate_3Meses;Percentual_Vencimento_Valor_Total_Faixa_3a6Meses;Percentual_Vencimento_Receita_FII_Faixa_3a6Meses;Percentual_Vencimento_Valor_Total_Faixa_6a9Meses;Percentual_Vencimento_Receita_FII_Faixa_6a9Meses;Percentual_Vencimento_Valor_Total_Faixa_9a12Meses;Percentual_Vencimento_Receita_FII_Faixa_9a12Meses;Percentual_Vencimento_Valor_Total_Faixa_12a15Meses;Percentual_Vencimento_Receita_FII_Faixa_12a15Meses;Percentual_Vencimento_Valor_Total_Faixa_15a18Meses;Percentual_Vencimento_Receita_FII_Faixa_15a18Meses;Percentual_Vencimento_Valor_Total_Faixa_18a21Meses;Percentual_Vencimento_Receita_FII_Faixa_18a21Meses;Percentual_Vencimento_Valor_Total_Faixa_21a24Meses;Percentual_Vencimento_Receita_FII_Faixa_21a24Meses;Percentual_Vencimento_Valor_Total_Faixa_24a27Meses;Percentual_Vencimento_Receita_FII_Faixa_24a27Meses;Percentual_Vencimento_Valor_Total_Faixa_27a30Meses;Percentual_Vencimento_Receita_FII_Faixa_27a30Meses;Percentual_Vencimento_Valor_Total_Faixa_30a33Meses;Percentual_Vencimento_Receita_FII_Faixa_30a33Meses;Percentual_Vencimento_Valor_Total_Faixa_33a36Meses;Percentual_Vencimento_Receita_FII_Faixa_33a36Meses;Percentual_Vencimento_Valor_Total_Faixa_Acima_36Meses;Percentual_Vencimento_Receita_FII_Faixa_Acima_36Meses;Percentual_Vencimento_Valor_Total_Faixa_Indeterminado;Percentual_Vencimento_Receita_FII_Faixa_Indeterminado;Percentual_Indexador_Valor_Total_IGPM;Percentual_Indexador_Receita_FII_IGPM;Percentual_Indexador_Valor_Total_INPC;Percentual_Indexador_Receita_FII_INPC;Percentual_Indexador_Valor_Total_IPCA;Percentual_Indexador_Receita_FII_IPCA;Percentual_Indexador_Valor_Total_INCC;Percentual_Indexador_Receita_FII_INCC;Caracteristicas_Contratuais;Politica_Contratacao_Seguro_Imovel_Renda_Acabado;Politica_Contratacao_Seguro_Imovel_Renda_Construcao;Politica_Contratacao_Seguro_Imovel_Venda_Acabado;Politica_Contratacao_Seguro_Imovel_Venda_Construcao;Ativo_Liquidez_Valor_Disponibilidades;Ativo_Liquidez_Valor_Titulos_Publicos;Ativo_Liquidez_Valor_Titulos_Privados;Ativo_Liquidez_Valor_Fundos_Renda_Fixa
00.332.266/0001-31;2025-03-31;1;0;0;0.010458;0.010246;0.01433;0.01404;0.010334;0.010125;0.002225;0.00218;0.012806;0.012547;0.003858;0.00378;0.045739;0.044814;0.019104;0.018717;0.026808;0.026266;0.002751;0.002696;0.006191;0.006065;0.127691;0.125109;0.717705;0.703187;;;0.033163;0.032492;0.065323;0.064002;;;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;609375.92;;;5148615.58
00.332.266/0001-31;2025-06-30;1;0.022581;0.022156;0.02359;0.023146;0.015576;0.015283;0.002141;0.002101;0.021082;0.020686;0.006352;0.006233;0.045615;0.044757;0.0411;0.040327;0.045252;0.044401;0.004529;0.004444;0.002236;0.002194;0.064519;0.063306;0.676355;0.663637;0.029072;0.028525;;;0.054596;0.05357;0.152242;0.14938;;;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;2723020.13;;;3413521.37
00.332.266/0001-31;2025-09-30;1;;;0.026429;0.025932;0.02849;0.027954;0.014568;0.014295;0.004594;0.004508;0.002867;0.002814;;;0.032025;0.031424;0.050098;0.049157;0.055953;0.054902;0.004958;0.004865;0.010295;0.010101;0.757712;0.743481;0.012011;0.0117845;;;0.067169;0.065908;0.152662;0.149794;;;Contratos típicos que seguem a Lei do Inquilinato, com reajuste anual por índice, aviso prévio e multa por rescisão antecipada.;Gerenciamento das vigências das apólices. Para cotação dos valores em risco do imóvel, é considerado o laudo de avaliação feito por;;;;2000;;;6208530.58
00.332.266/0001-31;2025-12-31;1;;;0.022199;-0.001707;0.02906;-0.002234;0.01486;-0.001142;0.004686;-0.00036;0.002925;-0.000225;;;0.032666;-0.002511;0.051101;-0.0039295;0.057073;-0.004387;0.005057;-0.000389;0.010501;-0.000807;0.75762;-0.058245;0.012252;-0.000942;;;0.068514;-0.005267;0.155719;-0.011971;;;Contratos típicos que seguem a Lei do Inquilinato, com reajuste anual por índice, aviso prévio e multa por rescisão antecipada.;Gerenciamento das vigências das apólices. Para cotação dos valores em risco do imóvel, é considerado o laudo de avaliação feito por empresa independente. Análise de risco para fins de cobertura.;;;;2000;;;3868080.37
00.613.094/0001-74;2025-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;Prazo de locação entre 60 e 120 meses, reajustado anualmente pela variação positiva do IGPM ou IPCA. O contrato de locação deve ser cumprido integralmente, sob penas de pagamento de indenização e multa por desistência da locação ou por rescisão, ou resiliçao antecipada. Para grande parte dos locatários, a garantia é obtida através de fiador, carta fiança, depósito caução ou depósito antecipado.;A locadora contratará seguro para o imóvel, considerando seu valor real e este custo será reembolsado pela locatária. Tal seguro inclui as dependências e instalações comuns, elevadores, ar condicionado, ou outros equipamentos, contemplando Riscos Operacionais e Responsabilidade Civil.;;;;569584.13;0;0;0
00.613.094/0001-74;2025-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;Prazo de locação entre 60 e 120 meses, reajustado anualmente pela variação positiva do IGPM ou IPCA. O contrato de locação deve ser cumprido integralmente, sob penas de pagamento de indenização e multa por desistência da locação ou por rescisão, ou resiliçao antecipada. Para grande parte dos locatários, a garantia é obtida através de fiador, carta fiança, depósito caução ou depósito antecipado.;A locadora contratará seguro para o imóvel, considerando seu valor real e este custo será reembolsado pela locatária. Tal seguro inclui as dependências e instalações comuns, elevadores, ar condicionado, ou outros equipamentos, contemplando Riscos Operacionais e Responsabilidade Civil.;;;;569584.13;0;0;0
00.613.094/0001-74;2025-09-30;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;Prazo de locação entre 60 e 120 meses, reajustado anualmente pela variação positiva do IGPM ou IPCA. O contrato de locação deve ser cumprido integralmente, sob penas de pagamento de indenização e multa por desistência da locação ou por rescisão, ou resiliçao antecipada. Para grande parte dos locatários, a garantia é obtida através de fiador, carta fiança, depósito caução ou depósito antecipado.;A locadora contratará seguro para o imóvel, considerando seu valor real e este custo será reembolsado pela locatária. Tal seguro inclui as dependências e instalações comuns, elevadores, ar condicionado, ou outros equipamentos, contemplando Riscos Operacionais e Responsabilidade Civil.;;;;569584.13;;;
00.613.094/0001-74;2025-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;Prazo de locação entre 60 e 120 meses, reajustado anualmente pela variação positiva do IGPM ou IPCA. O contrato de locação deve ser cumprido integralmente, sob penas de pagamento de indenização e multa por desistência da locação ou por rescisão, ou resiliçao antecipada. Para grande parte dos locatários, a garantia é obtida através de fiador, carta fiança, depósito caução ou depósito antecipado.;A locadora contratará seguro para o imóvel, considerando seu valor real e este custo será reembolsado pela locatária. Tal seguro inclui as dependências e instalações comuns, elevadores, ar condicionado, ou outros equipamentos, contemplando Riscos Operacionais e Responsabilidade Civil.;;;;569584.13;;;
00.762.723/0001-28;2025-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanda fica a cargo do condomínio.;;;;5587.28;;;477519.25
00.762.723/0001-28;2025-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanda fica a cargo do condomínio.;;;;5625.71;;;2429817.6
00.762.723/0001-28;2025-09-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanda fica a cargo do condomínio.;;;;5622.86;;;4886441.76
