CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
62.731.360/0001-10;2025-12-31;1;Alameda das Louveiras, 150, Fazenda Boa Vista I - Porto Feliz/SP, CEP 18548110 (Lote 02 Quadra 14);2148.46;A aquisição do imóvel foi formalizada por escritura pública de compra e venda, devidamente registrada no Cartório de Registro de Imóveis competente, encontrando-se o bem livre e desembaraçado de quaisquer ônus ou gravames. No referido terreno, será desenvolvido um imóvel residencial de alto padrão, com previsão de conclusão e entrega no 4T2027;0.247807805958927;0.073436126529703
62.731.360/0001-10;2025-12-31;1;Avenida 7 (SETE), 1035, Fazenda Boa Vista II - Porto Feliz/SP, CEP 18540000 (Lote 01 Quadra 49);3940.41;A aquisição do imóvel foi formalizada por escritura pública de compra e venda, devidamente registrada no Cartório de Registro de Imóveis competente, encontrando-se o bem livre e desembaraçado de quaisquer ônus ou gravames. No referido terreno, será desenvolvido um imóvel residencial de alto padrão, com previsão de conclusão e entrega no 4T2027;0.205966876954222;0.0610368570853049
62.731.360/0001-10;2025-12-31;1;Alameda das Nogueiras, Fazenda Boa Vista I - Porto Feliz/SP, CEP 18548118 (Lote 07 Quadra 04);3057.76;A aquisição do imóvel foi formalizada por escritura pública de compra e venda, devidamente registrada no Cartório de Registro de Imóveis competente, encontrando-se o bem livre e desembaraçado de quaisquer ônus ou gravames. No referido terreno, será desenvolvido um imóvel residencial de alto padrão, com previsão de conclusão e entrega no 4T2027;0.226738456757318;0.0671923708583249
62.935.643/0001-84;2025-09-30;1;Av. Rebouças, 2290 - São Paulo;4435.87;Matrícula unificada 181.478;1;0.9924
62.935.643/0001-84;2025-12-31;1;Rua dos Pinheiros, 547;175;Matrícula 27.998;1;0.0362
62.935.643/0001-84;2025-12-31;1;Rua dos Pinheiros, 551;175;Matrícula 182.182;1;0.0259
63.105.082/0001-59;2025-12-31;1;Rua das Acácias, N.º 381, Bairro Vale do Sereno, Nova Lima, Minas Gerais, CEP: 34006-003.;11580;Fração Ideal de 65,547% do imóvel objeto da matrícula N.º 47.231, do Registro de Imóveis da Comarca de Nova Lima, Estado de Minas Gerais.;1;0.9181
63.286.011/0001-08;2025-12-31;1;Avenida Doutor Ezuel Portes, 20183 - Cascavel-PR;119850;N/A;0;0.9928
63.879.740/0001-60;2025-12-31;1;Avenida Jorge Amado S/N - Guarulhos - São Paulo/SP;10180;Matrícula N° 113.162;1;0.0227
63.879.740/0001-60;2025-12-31;1;Matrícula N° 342;;;;
63.973.003/0001-21;2025-12-31;1;12,73% do terreno situado na Rua Dr. José Borges, no bairro de Lagoa Nova, Natal/RN,;763.8;Terreno anexo ao Midway Mall;0.11334;0.00316
63.973.003/0001-21;2025-12-31;1;12,73% do terreno situado à Avenida Bernardo Vieira, Lagoa Nova, Natal/RN;5459.09;Terreno anexo ao Midway Mall;0.88666;0.02474
