CNPJ_Fundo_Classe;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
00.332.266/0001-31;2025-03-31;1;0;0;0;0;0;0;0;0;0;0;9842053.96;10631852.86;-39999.99;-85234.47;0;0;0;0;0;0;-4362478.48;-4362478.48;5439575.49;6184139.91;0;0;0;0;0;0;0;0;0;0;5439575.49;6184139.91;118865.99;118865.99;0;0;0;0;0;0;118865.99;118865.99;;;-325600.13;-325600.14;0;0;0;0;0;0;0;0;0;0;-55158.64;-55158.64;0;0;0;0;0;0;-57911.53;-57911.53;0;0;-5250;-5250;0;0;0;0;-12491.26;-12491.26;-456411.56;-456411.57;5102029.92;5846594.33;5846594.33;5554264.6135;;;4200223.5035;-4200223.5;0.0035;0.718405
00.332.266/0001-31;2025-06-30;1;0;0;0;0;0;0;0;0;0;0;11045296.37;10064905.03;-382249.99;-382249.99;0;0;0;0;0;0;-3860271.39;-3860271.39;6802774.99;5822383.65;0;0;0;0;0;0;0;0;0;0;6802774.99;5822383.65;134417.25;134417.25;0;0;0;0;0;0;134417.25;134417.25;;;-325600.14;-325600.13;;;;;;;;;0;0;0;0;;;-215192.2;-215192.2;;;-60379.9;-60379.9;;;0;0;;;-8088.72;-8088.72;-104811.71;-104811.71;-714072.67;-714072.66;6223119.57;5242728.24;11089322.57;10534856.4415;;;10584563.2215;-8400447;2184116.2215;0.954482
00.332.266/0001-31;2025-09-30;1;0;0;0;0;0;0;0;0;0;0;6191226.06;5373862.59;253463.03;0;0;0;0;0;-50067100;0;-676938.66;0;-44299349.57;5373862.59;0;0;0;0;0;0;0;0;0;0;-44299349.57;5373862.59;102862.54;102862.54;0;0;0;0;0;0;102862.54;102862.54;;;-228887.43;-258560.87;0;0;0;0;28220.17;-22212.78;0;0;-22437.31;-10861.75;-112003.62;-85131.2;0;0;-16253.47;-917;0;0;-53059.86;-137918.41;0;0;-17429.79;-5500;0;0;84959.92;0;-6219.46;-10887.17;-343110.85;-531989.18;-44539597.88;4944735.95;4944735.95;4697499.1525;;;2548135.5925;-2408128.14;140007.4525;0.515323
00.332.266/0001-31;2025-12-31;1;0;0;0;0;0;0;0;0;0;0;2036674.74;-10216.96;0;0;0;0;0;0;-181544100;0;-10216.96;0;-179517642.22;-10216.96;0;0;0;0;0;0;0;0;0;0;-179517642.22;-10216.96;143114.39;143114.39;0;0;0;0;0;0;143114.39;143114.39;;;-169941.48;-169941.48;0;0;0;0;0;0;0;0;-32349.98;-33725.51;-39599.38;0;0;0;-15248.34;-1834;0;0;-278033.77;-5007.61;0;0;-3570.21;-10500;0;0;-128118.79;-127883.6;-24448.69;-24448.69;-691310.64;-373340.89;-180065838.47;-240443.46;4704292.49;4469077.8655;;;4508239.8855;-4508239.89;-0.0045;0.958325
00.613.094/0001-74;2025-03-31;1;;;;;;;;;0;0;0;;-145188.03;;0;;-644726.06;;0;;0;;-789914.09;0;0;;0;;0;;0;;0;0;-789914.09;0;0;;0;;0;;0;;0;0;0;0;0;;0;;0;;0;;0;;-27000;;0;;0;;-6509.04;;0;;-106516.64;;0;;0;;0;;0;;-29277.34;0;-169303.02;0;-959217.11;0;0;0;;0;0;0;0;0
00.613.094/0001-74;2025-06-30;1;;;;;;;;;0;0;0;;-137491.74;;0;;-967089.09;;0;;0;;-1104580.83;0;0;;0;;0;;0;;0;0;-1104580.83;0;0;;0;;0;;0;;0;0;0;0;0;;0;;-62388;;0;;0;;-29317.26;;-52372.95;;0;;-3162.29;;0;;-365659.84;;0;;0;;0;;0;;50612.74;0;-462287.6;0;-1566868.43;0;0;0;;0;0;0;0;0
00.613.094/0001-74;2025-09-30;1;;;;;;;;;0;0;0;0;-131767.24;0;0;0;-967089.09;0;0;0;0;0;-1098856.33;0;0;0;0;0;0;0;0;0;0;0;-1098856.33;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;-112387;0;0;0;0;0;-29317.26;0;0;0;0;0;0;0;0;0;-66080.41;0;0;0;0;0;0;0;0;0;-12021.81;0;-219806.48;0;-1318662.81;0;0;0;;0;0;0;0;0
00.613.094/0001-74;2025-12-31;1;;;;;;;;;0;0;0;0;-141207.42;0;0;0;-644726.06;0;0;0;0;0;-785933.48;0;0;0;0;0;0;0;0;0;0;0;-785933.48;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;-29317.26;0;0;0;0;0;0;0;0;0;-130797.41;0;0;0;0;0;0;0;0;0;2378.79;0;-157735.88;0;-943669.36;0;0;0;;0;0;0;0;0
00.762.723/0001-28;2025-03-31;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;-1237646.31;600000;-1237646.31;600000;;;;;;;;;0;0;-1237646.31;600000;8073.05;8073.05;;;;;;;8073.05;8073.05;;;-152486.4;-175699.37;0;0;0;0;0;0;0;0;0;0;0;-14000;0;0;0;0;0;0;-6111.76;-6111.76;0;0;-6100;-6100;0;0;0;0;-7208.23;-7208.23;-171906.39;-209119.36;-1401479.65;398953.69;398953.69;379006.0055;;;-0.0045;0;-0.0045;0
00.762.723/0001-28;2025-06-30;1;;;;;;;;;0;0;33750;33750;0;0;0;0;0;0;0;0;-2458002.38;-2203646.67;-2424252.38;-2169896.67;;;;;;;;;0;0;-2424252.38;-2169896.67;50437.32;50437.32;;;;;;;50437.32;50437.32;;;-152486.4;-152486.4;;;;;;;;;0;0;0;0;;;-251681;-251681;;;-11374.07;-11374.07;;;0;0;;;-301.26;-301.26;-8773.48;-8773.48;-424616.21;-424616.21;-2798431.27;-2544075.56;-2145121.87;0;;;0;0;0;0
