CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
01.356.517/0001-80;2025-06-30;1;Prédio com terreno;Rua Latife Luvizaro, 133 (parte = 1/3);414;1;prédio com área de estacionamento na frente;0.005324;Renda
07.789.135/0001-27;2025-09-30;1;SJS - SHOPPING JARDIM SUL;R. Itacaiúna, 61 - Vila Andrade - São Paulo - SP;28721.42;171;SJS - SHOPPING, localizado na Rua Itacaiúna, 61, Vila Andrade, São Paulo - SP, estando o terreno perfeitamente descrito e caracterizado na matrícula 311.650 a 381.820 do 11º Ofício de Registro de Imóveis de São Paulo - SP.;0.1;Renda
08.431.747/0001-06;2025-12-31;1;ParkShopping São Caetano;Alameda Terracota, 545 - São Caetano do Sul - SP;39251.7;252;Fração ideal de 20% do imóvel;0.08;Renda
08.706.065/0001-69;2025-03-31;1;Ibis São Paulo Morumbi;Avenida Roque Petroni Junior, 800, Sem Complemento, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-000;6862.5;227;28/03/2025;0.072245;Renda
08.706.065/0001-69;2025-03-31;1;Novotel Morumbi;Rua Ministro Nelson Hungria, 577, Morumbi, São Paulo/SP, Brasil, 05690-050;2005.37;2;28/03/2025;0.01384;Renda
08.706.065/0001-69;2025-03-31;1;Ibis Budget Morumbi;Avenida Roque Petroni Junior, 800, Sem Complemento, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-000;1491.2;31;28/03/2025;0.077402;Renda
11.839.593/0001-09;2025-09-30;2;Galpao Santo Andre;Avenida Joao Pessoa, 500, Sem Complemento, Jardim Utinga, Santo André/SP, Brasil, 09230-650;40474;1;Direito de Propriedade;0.0206456794551;Renda
11.839.593/0001-09;2025-09-30;2;Imovel Barueri;Avenida Tucunare, 720, Sem Complemento, Tamboré, Barueri/SP, Brasil, 06460-020;25394.2;1;Direito de Propriedade;0.00553519290387;Renda
11.839.593/0001-09;2025-12-31;1;BTLG - Maua II;Avenida Papa Joao Xxiii, 3740, Sem Complemento, Sitio Sertão, Mauá/SP, Brasil, 09370-800;48417;2;Direito de Propriedade;0.02744010727285;Renda
11.839.593/0001-09;2025-12-31;1;BTLG - Osasco;Avenida Doutor Alberto Jackson Byington, 2990, Sem Complemento, Industrial Anhangüera, Osasco/SP, Brasil, 06276-000;35011.07;1;Direito de Propriedade;0.02010482729324;Renda
13.320.290/0001-00;2025-03-31;1;MAT 6273 - FAZENDA PAU DE COLHER;Rodovia Ba.324 - Km.20, S/n, Zona Rural, Ourolândia, Ourolândia/BA, Brasil, 44718-000;3870443.1;1;Direito de Propriedade;0;Renda
13.320.290/0001-00;2025-06-30;1;MAT 8967 - FAZENDA DIVINA;Zona Rural, S/n, Sem Complemento, Itaguaçu Da Bahia, Itaguaçu Da Bahia/BA, Brasil, 47440-000;4658.12;1;Direito de Propriedade;0.04164690218235;Renda
13.320.290/0001-00;2025-06-30;1;MAT 7226 - FAZENDA MANDIOCA BRAVA;Zona Rural, S/n, Sem Complemento, Itaguaçu Da Bahia, Itaguaçu Da Bahia/BA, Brasil, 47440-000;4733.75;1;Direito de Propriedade;0.04232306648454;Renda
13.320.290/0001-00;2025-06-30;1;MAT 8654 - FAZENDA TEXAS;Zona Rural, S/n, Sem Complemento, Itaguaçu Da Bahia, Itaguaçu Da Bahia/BA, Brasil, 47440-000;9454.76;1;Direito de Propriedade;0.08453216682351;Renda
13.320.290/0001-00;2025-06-30;1;MAT 8653 - FAZENDA SAO SEBASTIAO;Zona Rural, S/n, Sem Complemento, Itaguaçu Da Bahia, Itaguaçu Da Bahia/BA, Brasil, 47440-000;4131.38;1;Direito de Propriedade;0.03693748610838;Renda
