CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto;Ano de Referência;CNPJ_Fundo
36.312.025/0001-78;2024-09-30;1;Imóveis para venda em construção;Não há informação apresentada.;Não há informação apresentada.;Não há informação apresentada.;2024;
36.673.421/0001-20;2024-03-28;1;Imóveis para venda em construção;Não há;Não há;Não há;2024;
36.673.421/0001-20;2024-06-28;1;Imóveis para venda em construção;Não há;Não há;Não há;2024;
36.673.421/0001-20;2024-09-30;1;Imóveis para venda em construção;Não há;Não há;Não há;2024;
36.673.421/0001-20;2024-12-31;1;Imóveis para venda em construção;Não há;Não há;Não há;2024;
38.293.897/0001-61;2024-09-30;1;Imóveis para venda em construção;Jardim Petrella Brooklin;Não Aplicável;Não Aplicável;2024;
38.293.897/0001-61;2024-12-31;1;Imóveis para venda em construção;Jardim Petrella Brooklin;Não Aplicável;Não Aplicável;2024;
39.347.413/0001-82;2024-03-31;1;Imóveis para renda em construção;Hospital Unimed Campina Grande;Conforme fato relevante divulgado em 09/05/2024, no dia 08/05/2024 foi formalizado o 3º aditamento ao contrato de costrução definindo novas condições para a entraga da obra, assim foram definidos os seguites prazos. 1) entrega física da obra em 31/07/2024, 2) emissão do AVCB até o dia 30/09/2024, e 3) Entrega da CND até 31/10/2024.  No âmbito das tratativas foram mapeadas todas as pendências e inconformidades, com o estabelecimento de datas marco para o atingimento de metas de percentual de avanço físico e para conclusão de algumas etapas estabelecidas pela Gerenciadora. Por fim, para viabilização do acordo, também foi estabelecido um novo critério para aplicação da multa a ser cobrada de forma decrescente de acordo com o cumprimento das metas estabelecidas, iniciando em 18% com redução proporcional a partir da primeira data marco fixada em 31/03/2024, neste sentido, considerando que as metas estabelecidas para 31/03/2024 e 30/04/2024 foram atingidas, a multa foi reduzida para 13,5% do valor do contrato. Como garantia de pagamento das penalidades os sócios da construtora assinaram como fiadores e principais pagadores. Considerando as condições da apólice de seguro performance bond o acordo foi firmado sob condição suspensiva e será submetido à anuência da seguradora.;Em 21/11/2023 foi formalizado o 2 anditamento ao contrato de construção para formalizar o acordo por meio do qual a UNIMED CAMPINA GRANDE assumiu a responsabilidade pelo pagamento de um custo adicional no valor de R$ 12.000.000,00. O valor adicional foi pleiteado pela construtora alegando que o orçamento por ela apresentado continha erros, de sua exclusiva responsabilidade, mas que para viabilizar a conclusão da obra seria necessário o pagamento do custo adicional. Além disso, afirmou que durante a execução da obra identificou a necessidade de alterações de projetos motivadas por incompatibilidades, o que também estaria impactando no custo da  obra. O valor do custo adicional será pago pela UNIMED diretamente aos fornecedores de materias e serviços para obra, não impactando o fluxo de caixa do Fundo.  Quanto ao desvio entre o avanço físico e o avanço financeiro, é importante destacar que tal desvio decorre da contratação de insumos por meio de faturamento direto.;2024;
39.347.413/0001-82;2024-06-30;1;Imóveis para renda em construção;Hospital Unimed Campina Grande;Conforme fato relevante divulgado em 09/05/2024, no dia 08/05/2024 foi formalizado o 3º aditamento ao contrato de costrução definindo novas condições para a entraga da obra, assim foram definidos os seguites prazos. 1) entrega física da obra em 31/07/2024, 2) emissão do AVCB até o dia 30/09/2024, e 3) Entrega da CND até 31/10/2024.  No âmbito das tratativas foram mapeadas todas as pendências e inconformidades, com o estabelecimento de datas marco para o atingimento de metas de percentual de avanço físico e para conclusão de algumas etapas estabelecidas pela Gerenciadora. Por fim, para viabilização do acordo, também foi estabelecido um novo critério para aplicação da multa a ser cobrada de forma decrescente de acordo com o cumprimento das metas estabelecidas, iniciando em 18% com redução proporcional a partir da primeira data marco fixada em 31/03/2024, neste sentido, considerando que as metas estabelecidas para 31/03/2024 e 30/04/2024 foram atingidas, a multa foi reduzida para 13,5% do valor do contrato, por outro lado, os marcos dos meses de maio e junho não foram  atingidos, de forma que não houve redução da multa, sendo mantidos os demais prazos.  Como garantia de pagamento das penalidades os sócios da construtora assinaram como fiadores e principais pagadores. Considerando as condições da apólice de seguro performance bond o acordo foi firmado sob condição suspensiva e será submetido à anuência da seguradora.;Em 21/11/2023 foi formalizado o 2 anditamento ao contrato de construção para formalizar o acordo por meio do qual a UNIMED CAMPINA GRANDE assumiu a responsabilidade pelo pagamento de um custo adicional no valor de R$ 12.000.000,00. O valor adicional foi pleiteado pela construtora alegando que o orçamento por ela apresentado continha erros, de sua exclusiva responsabilidade, mas que para viabilizar a conclusão da obra seria necessário o pagamento do custo adicional. Além disso, afirmou que durante a execução da obra identificou a necessidade de alterações de projetos motivadas por incompatibilidades, o que também estaria impactando no custo da  obra. O valor do custo adicional será pago pela UNIMED diretamente aos fornecedores de materias e serviços para obra, não impactando o fluxo de caixa do Fundo.  Quanto ao desvio entre o avanço físico e o avanço financeiro, é importante destacar que tal desvio decorre da contratação de insumos por meio de faturamento direto.;2024;
39.347.413/0001-82;2024-09-30;1;Imóveis para renda em construção;Hospital Unimed Campina Grande;Conforme fato relevante divulgado em 09/05/2024, no dia 08/05/2024 foi formalizado o 3º aditamento ao contrato de costrução definindo novas condições para a entraga da obra, assim, foram definidos os seguites prazos. 1) entrega física da obra em 31/07/2024, 2) emissão do AVCB até o dia 30/09/2024, e 3) Entrega da habite-se até 31/10/2024. Ocorre que a engraga física da obra não ocorreu na data prevista, além disso, cosiderando que, de acordo com o avanço da obra, a conclusão até 31/10/2024  também não seria possível, no dia 07/10/2024 foi formalizado o 4º aditamento postergando a enrega da obra para 30/11/2024.. Tal providêdncia se mostrou necessária para possibilitar a renovaçõa dos seguros da obra.  A postergação foi objeto de Fato Relevante divulgado em 30/10/2024;Em 21/11/2023 foi formalizado o 2 anditamento ao contrato de construção para formalizar o acordo por meio do qual a UNIMED CAMPINA GRANDE assumiu a responsabilidade pelo pagamento de um custo adicional no valor de R$ 12.000.000,00. O valor adicional foi pleiteado pela construtora alegando que o orçamento por ela apresentado continha erros, de sua exclusiva responsabilidade, mas que para viabilizar a conclusão da obra seria necessário o pagamento do custo adicional. Além disso, afirmou que durante a execução da obra identificou a necessidade de alterações de projetos motivadas por incompatibilidades, o que também estaria impactando no custo da  obra. O valor do custo adicional será pago pela UNIMED diretamente aos fornecedores de materias e serviços para obra, não impactando o fluxo de caixa do Fundo.  Quanto ao desvio entre o avanço físico e o avanço financeiro, é importante destacar que tal desvio decorre da contratação de insumos por meio de faturamento direto. .;2024;
39.347.413/0001-82;2024-12-31;1;Imóveis para renda em construção;Hospital Unimed Campina Grande;Em 29/11/2025 divulgamos Fato Relevante informando que a construtora não cumpriu o compromisso de entregar a obra até o final de novembro/2024. Na oportunidade informamos que de acordo com a Gerenciadora da obra, o avanço físico até 28/11/2024 era de 96,34%, também informamos que a construtora havia apresentado um novo crongrama com prazo para conclusão da obra até 31/01/2025.  Em dezembro o avanço físico atigingiu 97,33% e em 23/12/2024 foi aprovado o AVCB, e de acordo com a construtora o processo de obtenção o  habite-se já se encontrava em andamento,  com algumas vistorias já realizadas.;Em 21/11/2023 foi formalizado o 2 anditamento ao contrato de construção para formalizar o acordo por meio do qual a UNIMED CAMPINA GRANDE assumiu a responsabilidade pelo pagamento de um custo adicional no valor de R$ 12.000.000,00. O valor adicional foi pleiteado pela construtora alegando que o orçamento por ela apresentado continha erros, de sua exclusiva responsabilidade, mas que para viabilizar a conclusão da obra seria necessário o pagamento do custo adicional. Além disso, afirmou que durante a execução da obra identificou a necessidade de alterações de projetos motivadas por incompatibilidades, o que também estaria impactando no custo da  obra. O valor do custo adicional será pago pela UNIMED diretamente aos fornecedores de materias e serviços para obra, não impactando o fluxo de caixa do Fundo.  Quanto ao desvio entre o avanço físico e o avanço financeiro, é importante destacar que tal desvio decorre da contratação de insumos por meio de faturamento direto. .;2024;
40.010.015/0001-55;2024-03-28;1;Imóveis para venda em construção;Não possui informação apresentada;Não possui informação apresentada;Não possui informação apresentada;2024;
40.010.015/0001-55;2024-03-28;1;Imóveis para renda em construção;Não possui informação apresentada;Não possui informação apresentada;Não possui informação apresentada;2024;
40.010.015/0001-55;2024-06-30;1;Imóveis para renda em construção;informação não apresentada;informação não apresentada;informação não apresentada;2024;
40.010.015/0001-55;2024-09-30;1;Imóveis para renda em construção;informação não apresentada;informação não apresentada;informação não apresentada;2024;
40.010.015/0001-55;2024-12-31;1;Imóveis para renda em construção;informação não apresentada;informação não apresentada;informação não apresentada;2024;
40.041.723/0001-53;2024-03-31;1;Imóveis para renda em construção;Cyrela On The Parc By Yoo;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-03-31;1;Imóveis para renda em construção;Iconyc;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-03-31;1;Imóveis para renda em construção;Atmosfera Vila Mariana;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-03-31;1;Imóveis para renda em construção;Cyrela For You;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-06-30;1;Imóveis para renda em construção;Atmosfera Vila Mariana;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-06-30;1;Imóveis para renda em construção;Cyrela On The Parc By Yoo;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-06-30;1;Imóveis para renda em construção;Iconyc;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-06-30;1;Imóveis para renda em construção;Cyrela For You;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-09-30;1;Imóveis para renda em construção;Iconyc;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-09-30;1;Imóveis para renda em construção;Cyrela On The Parc By Yoo;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-09-30;1;Imóveis para renda em construção;Atmosfera Vila Mariana;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-09-30;1;Imóveis para renda em construção;Cyrela For You;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-12-31;1;Imóveis para renda em construção;Iconyc;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-12-31;1;Imóveis para renda em construção;Cyrela On The Parc By Yoo;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-12-31;1;Imóveis para renda em construção;Cyrela For You;Não se aplica;Não se aplica;2024;
40.041.723/0001-53;2024-12-31;1;Imóveis para renda em construção;Atmosfera Vila Mariana;Não se aplica;Não se aplica;2024;
41.081.336/0001-03;2024-03-28;1;Imóveis para renda em construção;;;;2024;
41.081.336/0001-03;2024-06-30;1;Imóveis para renda em construção;;;;2024;
41.081.336/0001-03;2024-09-30;1;Imóveis para renda em construção;;;;2024;
41.081.336/0001-03;2024-12-31;1;Imóveis para renda em construção;;;;2024;
41.081.356/0001-84;2024-03-31;1;Imóveis para venda em construção;Jamaris - Bairro Moema;;;2024;
41.081.356/0001-84;2024-03-31;1;Imóveis para venda em construção;Avenida Indianópolis, 68 Moema;;;2024;
41.081.356/0001-84;2024-03-31;1;Imóveis para venda em construção;Av. Indianópolis, 68;;;2024;
41.081.356/0001-84;2024-06-30;1;Imóveis para venda em construção;Jamaris - Bairro Moema;;;2024;
41.081.356/0001-84;2024-06-30;1;Imóveis para venda em construção;Avenida Indianópolis, 68 Moema;;;2024;
41.081.356/0001-84;2024-06-30;1;Imóveis para venda em construção;Av. Indianópolis, 68;;;2024;
41.081.356/0001-84;2024-09-30;1;Imóveis para venda em construção;Av. Indianópolis, 68;;;2024;
41.081.356/0001-84;2024-09-30;1;Imóveis para venda em construção;Avenida Indianópolis, 70 Moema;;;2024;
41.081.356/0001-84;2024-12-31;1;Imóveis para venda em construção;Avenida Indianópolis, 70 Moema;;;2024;
41.088.458/0001-21;2024-09-30;1;Imóveis para venda em construção;Kalea Jardins;Não se aplica;Não se aplica;2024;
41.114.606/0001-35;2024-03-31;1;Imóveis para renda em construção;Hospital Unimed Maceió;Com o inicio das obras de fundação foi identificado erro no plano altimétrico utilizado nos projetos entregues à construtora, além da identificação de solo arenoso em uma parte do terreno. Tais eventos ensejaram a revisão de projetos o que provocou a paralizado dos trabalhos por um período de aproximadamente 40 dias. Como consequência da paralização o cronograma de obras encontra-se em revisão.  Ademais, como ponto de atenção, foram apontadas algumas incompatibilidades e inconsistências, parte em função de alterações do projeto planialtimétrico. Também verificou-se a necessidade de  elaboração de projetos complementares , tal situação , conforme informado pela construtora, já está impactando o cronograma, neste sentido, as partes estão avaliando um plano de ação visando  mitigar esses impactos .;Não se aplica;2024;
41.114.606/0001-35;2024-06-30;1;Imóveis para renda em construção;Hospital Unimed Maceió;Com o inicio das obras de fundação foi identificado erro no plano altimétrico utilizado nos projetos entregues à construtora, além da identificação de solo arenoso em uma parte do terreno. Tais eventos ensejaram a revisão de projetos o que provocou a paralização dos trabalhos por um período de aproximadamente 40 dias. Além disso, posteriormente, também houveram alterações no projeto original, tais como modificação do sistema de HVAC, sistema de combate de incêncido e sistemas elétricos, e como consequência, foram apontadas diversas imcompatibilidades que precisarm ser sanadas. O processo de compatibilização, em andamento, é complexo, pois envolve diversas disciplinas, projetistas e arquitetos, assim, em virtude do cenário relatado acima, a construtora apresentou um novo cronograma alterando a data de entrega da obra de dez/24 para set/25,  conforme Fato Relevante divulgado pelo Fundo em 29/05/2024.  Por fim, com a revisão do cronograma, houve um realinhamento do avanço físico e financeiro.;Não se aplica;2024;
41.114.606/0001-35;2024-09-30;1;Imóveis para renda em construção;Hospital Unimed Maceió;Com o inicio das obras de fundação foi identificado erro no plano altimétrico utilizado nos projetos entregues à construtora, além da identificação de solo arenoso em uma parte do terreno. Tais eventos ensejaram a revisão de projetos o que provocou a paralização dos trabalhos por um período de aproximadamente 40 dias. Além disso, posteriormente, também houveram alterações no projeto original, tais como modificação do sistema de HVAC, sistema de combate de incêncido e sistemas elétricos, e como consequência, foram apontadas diversas imcompatibilidades que precisarm ser sanadas. O processo de compatibilização, em andamento, é complexo, pois envolve diversas disciplinas, projetistas e arquitetos, assim, em virtude do cenário relatado acima, a construtora apresentou um novo cronograma alterando a data de entrega da obra de dez/24 para set/25,  conforme Fato Relevante divulgado pelo Fundo em 29/05/2024.  Por fim, com a revisão do cronograma, houve um realinhamento do avanço físico e financeiro.;Não se aplica;2024;
41.114.606/0001-35;2024-12-31;1;Imóveis para renda em construção;Hospital Unimed Maceió;"Por meio do Fato Relevante divulgado em 25 de novembro de 2024 havíamos informado quanto ao impasse envolvendo a aprovação dos pleitos de aditivos apresentados pela construtora que, após analisados pela Gerenciadora da obra, foram enviados para aprovação da Unimed Maceió.Também havíamos informado sobre a necessidade de formalização do 6º Aditamento ao Contrato de Empreitada a Preço Global, cuja versão enviada para assinatura tratava da prorrogação do prazo para entrega da obra para 29 de setembro de 2025, bem como do pagamento dos custos para execução do novo cronograma de acordo com pleito apresentado pela Construtora.  Agora, vimos informar que, após tratativas mantidas entre Fundo, Unimed Maceió e Construtora, as partes celebraram um acordo temporário mediante a formalização do 6º Aditamento.Em síntese, o 6º Aditamento estabeleceu um acordo de Standstill, no período de 02 de dezembro de 2024 até 28 de fevereiro de 2025 (""Período de Standstill""), com o objetivo de permitir que as Partes entrem em consenso quanto às responsabilidades pelos pleitos apresentados pela Construtora. O acordo visa assegurar a continuidade das obras, a manutenção dos direitos e obrigações contratuais existentes, bem como a definição de um novo cronograma para a Conclusão das Obras, detalhando as etapas e prazos para sua finalização.";Não se aplica;2024;
41.325.993/0001-59;2024-09-30;1;Imóveis para venda em construção;não se aplica;;;2024;
41.325.993/0001-59;2024-12-31;1;Imóveis para venda em construção;não se aplica;;;2024;
41.978.154/0001-30;2024-03-28;1;Imóveis para venda em construção;GRAND QUARTIER;;;2024;
41.978.154/0001-30;2024-06-30;1;Imóveis para venda em construção;GRAND QUARTIER;;;2024;
41.978.154/0001-30;2024-09-30;1;Imóveis para venda em construção;GRAND QUARTIER;;;2024;
41.978.154/0001-30;2024-12-31;1;Imóveis para venda em construção;GRAND QUARTIER;;;2024;
42.273.290/0001-97;2024-03-28;1;Imóveis para venda em construção;Vista Ipanema;;;2024;
42.273.290/0001-97;2024-03-28;1;Imóveis para venda em construção;Alma Ipanema;;;2024;
42.273.290/0001-97;2024-03-28;1;Imóveis para venda em construção;Dona Delfina;;;2024;
42.273.290/0001-97;2024-06-30;2;Imóveis para venda em construção;Alma Ipanema;Replanejamento de Obra;;2024;
42.273.290/0001-97;2024-06-30;2;Imóveis para venda em construção;Vista Ipanema;Replanejamento de Obra;;2024;
42.273.290/0001-97;2024-06-30;2;Imóveis para venda em construção;Prudente 786;Replanejamento de Obra;;2024;
42.273.290/0001-97;2024-06-30;2;Imóveis para venda em construção;Dona Delfina;Replanejamento de Obra;;2024;
42.273.290/0001-97;2024-09-30;1;Imóveis para venda em construção;Vista Ipanema;;;2024;
42.273.290/0001-97;2024-09-30;1;Imóveis para venda em construção;Dona Delfina;;;2024;
42.273.290/0001-97;2024-09-30;1;Imóveis para venda em construção;Alma Ipanema;;;2024;
42.273.290/0001-97;2024-12-31;1;Imóveis para venda em construção;Alma Ipanema;;;2024;
42.273.290/0001-97;2024-12-31;1;Imóveis para venda em construção;PRUDENTE 786;;;2024;
42.273.290/0001-97;2024-12-31;1;Imóveis para venda em construção;Vista Ipanema;;;2024;
42.273.290/0001-97;2024-12-31;1;Imóveis para venda em construção;Dona Delfina;;;2024;
42.869.892/0001-01;2024-03-31;1;Imóveis para venda em construção;GUARAMOMIS;;;2024;
42.869.892/0001-01;2024-03-31;1;Imóveis para venda em construção;SEBASTIAO PAES (BRIO IV) 50%;;;2024;
42.869.892/0001-01;2024-06-30;1;Imóveis para venda em construção;GUARAMOMIS;;;2024;
42.869.892/0001-01;2024-09-30;1;Imóveis para venda em construção;GUARAMOMIS;;;2024;
42.869.892/0001-01;2024-12-31;1;Imóveis para venda em construção;GUARAMOMIS;;;2024;
43.617.647/0001-70;2024-03-31;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica;2024;
43.617.647/0001-70;2024-06-30;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica;2024;
43.617.647/0001-70;2024-09-30;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica;2024;
43.617.647/0001-70;2024-12-31;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica;2024;
43.862.625/0001-75;2024-03-31;2;Imóveis para venda em construção;Basílio 177;NÃO HOUVE ATRASO NA EVOLUÇÃO DE OBRA.Até outubro/23 foram realizados serviços preliminares de demolição e desmontagem interna, por se tratar de um retrofit. Tais serviços não foram contemplados no percentual de evolução física de obra. O início de obras ocorreu em novembro/23, conforme previsto.;NÃO HOUVE CUSTOS SUPERIORES AO PREVISTO.A evolução física não inclui a demolição. Porém, por uma questão de planejamento e acompanhamento de fluxo de caixa, a evoluçõo dos custos acima indicada inclui os custos de demolição.O valor realizado foi menor do que o previsto devido à estratégia adotada nas negociações comerciais dos contratos iniciais, que permitiu a postergação de alguns pagamentos previamente previstos, sem implicar na evolução física planejada.;2024;
43.862.625/0001-75;2024-06-30;1;Imóveis para venda em construção;Basílio 177;Até outubro/23 foram realizados serviços preliminares de demolição e desmontagem interna, por se tratar de um retrofit. Tais serviços não foram contemplados no percentual de evolução física de obra. O início de obras ocorreu em novembro/23, conforme previsto. No trimestre, devido à compatibilização de determinadas etapas dos projetos executivos, foi necessário o replanejamento de alguns serviços, de forma que a evolução física ficou abaixo do previsto. No entanto, o replanejamento contempla a compensação de tal defasagem nos meses subsequentes, sendo que o prazo de entrega da obra será mantido.;NÃO INCORRERAM CUSTOS SUPERIORES AO PREVISTO.A evolução física não inclui a demolição. Porém, por uma questão de planejamento e acompanhamento de fluxo de caixa, a evoluçõo dos custos acima indicada inclui os custos de demolição.;2024;
43.862.625/0001-75;2024-09-30;1;Imóveis para venda em construção;Basílio 177;Até outubro/23 foram realizados serviços preliminares de demolição e desmontagem interna, por se tratar de um retrofit. Tais serviços não foram contemplados no percentual de evolução física de obra. O início de obras ocorreu em novembro/23, conforme previsto. Devido à compatibilização de determinadas etapas dos projetos executivos, foi necessário o replanejamento de alguns serviços, de forma que a evolução física ficou abaixo do previsto. O replanejamento contempla a compensação de tal defasagem nos meses subsequentes. O prazo de entrega da obra será mantido.;NÃO INCORRERAM CUSTOS SUPERIORES AO PREVISTO.A evolução física não inclui a demolição. Porém, por uma questão de planejamento e acompanhamento de fluxo de caixa, a evoluçõo dos custos acima indicada inclui os custos de demolição.;2024;
43.862.625/0001-75;2024-12-31;1;Imóveis para venda em construção;Basílio 177;Até outubro/23 foram realizados serviços preliminares de demolição e desmontagem interna, por se tratar de um retrofit. Tais serviços não foram contemplados no percentual de evolução física de obra. O início de obras ocorreu em novembro/23, conforme previsto. Devido à compatibilização de determinadas etapas dos projetos executivos, foi necessário o replanejamento de alguns serviços, de forma que a evolução física ficou abaixo do previsto. O replanejamento contempla a compensação de tal defasagem nos meses subsequentes. O prazo de entrega da obra será mantido.;NÃO INCORRERAM CUSTOS SUPERIORES AO PREVISTO.A evolução física não inclui a demolição. Porém, por uma questão de planejamento e acompanhamento de fluxo de caixa, a evoluçõo dos custos acima indicada inclui os custos de demolição.;2024;
46.157.348/0001-98;2024-03-31;1;Imóveis para renda em construção;PATTEO KLABIN;;;2024;
46.157.348/0001-98;2024-03-31;1;Imóveis para renda em construção;YOUR OSCAR FREIRE;;;2024;
46.157.348/0001-98;2024-03-31;1;Imóveis para renda em construção;HELBOR VILA OLIMPIA HOME & STY;;;2024;
46.157.348/0001-98;2024-06-30;1;Imóveis para renda em construção;PATTEO KLABIN;;;2024;
46.157.348/0001-98;2024-06-30;1;Imóveis para renda em construção;YOUR OSCAR FREIRE;;;2024;
46.157.348/0001-98;2024-06-30;1;Imóveis para renda em construção;HELBOR VILA OLIMPIA HOME & STY;;;2024;
46.157.348/0001-98;2024-09-30;1;Imóveis para renda em construção;HELBOR VILA OLIMPIA HOME & STY;;;2024;
46.157.348/0001-98;2024-09-30;1;Imóveis para renda em construção;YOUR OSCAR FREIRE;;;2024;
46.157.348/0001-98;2024-09-30;1;Imóveis para renda em construção;PATTEO KLABIN;;;2024;
46.157.348/0001-98;2024-12-31;1;Imóveis para renda em construção;YOUR OSCAR FREIRE;;;2024;
46.157.348/0001-98;2024-12-31;1;Imóveis para renda em construção;HELBOR VILA OLIMPIA HOME & STY;;;2024;
46.157.348/0001-98;2024-12-31;1;Imóveis para renda em construção;PATTEO KLABIN;;;2024;
46.285.299/0001-79;2024-03-31;1;Imóveis para venda em construção;Não se aplica;Não se aplica;Não se aplica;2024;
46.285.299/0001-79;2024-06-30;1;Imóveis para venda em construção;Não se aplica;Não se aplica;Não se aplica;2024;
46.285.299/0001-79;2024-09-30;1;Imóveis para venda em construção;Não se aplica;Não se aplica;Não se aplica;2024;
47.136.369/0001-90;2024-03-31;1;Imóveis para venda em construção;Basílio 177;NÃO HOUVE ATRASO NA EVOLUÇÃO DE OBRA.Até outubro/23 foram realizados serviços preliminares de demolição e desmontagem interna, por se tratar de um retrofit. Tais serviços não foram contemplados no percentual de evolução física de obra. O início de obras ocorreu em novembro/23, conforme previsto.;NÃO HOUVE CUSTOS SUPERIORES AO PREVISTO.A evolução física não inclui a demolição. Porém, por uma questão de planejamento e acompanhamento de fluxo de caixa, a evoluçõo dos custos acima indicada inclui os custos de demolição.O valor realizado foi menor do que o previsto devido à estratégia adotada nas negociações comerciais dos contratos iniciais, que permitiu a postergação de alguns pagamentos previamente previstos, sem implicar na evolução física planejada.;2024;
47.136.369/0001-90;2024-06-30;1;Imóveis para venda em construção;Edifício sem nome da Rua Sete de Abril, 309 - República - São Paulo/SP;A conclusão da aprovação do projeto e a emissão do alvará de aprovação ocorreu em abril/23. o Alvará de execução foi emitido em setembro/23. O início de obras está previsto para final de outubro/2023 - início de novembro/23. Até o final do terceiro trimestre foram realizados serviços preliminares de demolição e desmontagem interna, por se tratar de um retrofit. Por isso não estão representados como % de evolução de obra.;Não houve desvios de custos;2024;
47.136.369/0001-90;2024-09-30;1;Imóveis para venda em construção;Basílio 177;Até outubro/23 foram realizados serviços preliminares de demolição e desmontagem interna, por se tratar de um retrofit. Tais serviços não foram contemplados no percentual de evolução física de obra. O início de obras ocorreu em novembro/23, conforme previsto. Devido à compatibilização de determinadas etapas dos projetos executivos, foi necessário o replanejamento de alguns serviços, de forma que a evolução física ficou abaixo do previsto. O replanejamento contempla a compensação de tal defasagem nos meses subsequentes. O prazo de entrega da obra será mantido.;NÃO INCORRERAM CUSTOS SUPERIORES AO PREVISTO.A evolução física não inclui a demolição. Porém, por uma questão de planejamento e acompanhamento de fluxo de caixa, a evoluçõo dos custos acima indicada inclui os custos de demolição.;2024;
47.136.369/0001-90;2024-12-31;2;Imóveis para venda em construção;Basílio, 177;Até outubro/2023 foram realizados serviços preliminares de demolição e desmontagem interna, por se tratar de um retrofit. Tais serviços não foram contemplados no percentual de evolução física de obra. O início de obras ocorreu em novembro/2023, conforme previsto. Devido à compatibilização de determinadas etapas dos projetos executivos, foi necessário o replanejamento de alguns serviços, de forma que a evolução física ficou abaixo do previsto. O replanejamento contempla a compensação de tal defasagem nos meses subsequentes. O prazo de entrega da obra será mantido.;Não incorreram custos superiores ao previsto. A evolução fisica não inclui a demolição. Porém, por uma questão de planejamento e acompanhamento de fluxo de caixa, a evolução dos custos acima indicada inclui os custos de demolição;2024;
49.553.783/0001-20;2024-03-31;1;Imóveis para venda em construção;Haia Boa Vista - GRM;A obra encontra-se atrasada devido o atraso no início dos serviços, consequentemente atrasando a execução da fundação.;;2024;
49.553.783/0001-20;2024-03-31;1;Imóveis para venda em construção;YOU Unlimited;;A obra está adiantada 3,55% em relação ao previsto no cronogramaO Cronograma incial foi reajustado pela YouInc em 19/07/23, tornando a curva mais conservadora e aderente ao planejamento daconstrutora, sem dilatação do prazo final de obra;2024;
49.553.783/0001-20;2024-03-31;1;Imóveis para venda em construção;Vista Madalena, By You, Inc;;A obra encontra-se no prazo.;2024;
49.553.783/0001-20;2024-06-30;1;Imóveis para venda em construção;Vista Madalena, By You, Inc;;A obra encontra-se no prazo.;2024;
49.553.783/0001-20;2024-06-30;1;Imóveis para venda em construção;Haia Boa Vista - GRM;A obra encontra-se atrasada devido o atraso no início dos serviços, consequentemente atrasando a execução da fundação.;;2024;
49.553.783/0001-20;2024-06-30;1;Imóveis para venda em construção;YOU Unlimited;;A obra está adiantada 3,55% em relação ao previsto no cronogramaO Cronograma incial foi reajustado pela YouInc em 19/07/23, tornando a curva mais conservadora e aderente ao planejamento daconstrutora, sem dilatação do prazo final de obra;2024;
50.180.894/0001-17;2024-03-31;1;Imóveis para renda em construção;MY WAY GUANABARA;;;2024;
50.180.894/0001-17;2024-03-31;1;Imóveis para renda em construção;NEW PATTEO;;;2024;
50.180.894/0001-17;2024-03-31;1;Imóveis para renda em construção;VILA NOVA;;;2024;
50.180.894/0001-17;2024-03-31;1;Imóveis para renda em construção;PATTEO SÃO BERNARDO;;;2024;
50.180.894/0001-17;2024-06-30;1;Imóveis para renda em construção;MY WAY GUANABARA;;;2024;
50.180.894/0001-17;2024-06-30;1;Imóveis para renda em construção;PATTEO SÃO BERNARDO;;;2024;
50.180.894/0001-17;2024-06-30;1;Imóveis para renda em construção;VILA NOVA;;;2024;
50.180.894/0001-17;2024-06-30;1;Imóveis para renda em construção;NEW PATTEO;;;2024;
50.399.189/0001-05;2024-06-30;1;Imóveis para venda em construção;0;0;0;2024;
50.399.189/0001-05;2024-09-30;1;Imóveis para venda em construção;;;;2024;
50.399.189/0001-05;2024-12-31;1;Imóveis para venda em construção;;;;2024;
50.569.855/0001-06;2024-03-31;1;Imóveis para renda em construção;;;;2024;
50.569.855/0001-06;2024-06-30;1;Imóveis para renda em construção;;;;2024;
50.569.855/0001-06;2024-09-30;1;Imóveis para renda em construção;;;;2024;
50.569.855/0001-06;2024-12-31;1;Imóveis para renda em construção;;;;2024;
